account_id,customer_id,account_type,balance,open_date,status
A0091,C0091,Current,278390,2020-02-28,Active
A0092,C0092,Current,143581,2022-05-24,Inactive
A0093,C0093,Current,305812,2018-09-27,Active
A0094,C0094,Current,7445,2018-01-11,Active
A0095,C0095,Savings,395435,2022-10-16,Active
A0096,C0096,Savings,167186,2023-06-13,Active
A0097,C0097,Current,244425,2020-09-11,Inactive
A0098,C0098,Savings,409299,2022-07-10,Active
A0099,C0099,Current,54383,2023-01-03,Active
A0100,C0100,Current,290208,2020-04-03,Inactive
A0101,C0101,Current,342007,2018-11-13,Active
A0102,C0102,Savings,494781,2021-07-30,Active
A0103,C0103,Savings,126836,2023-03-28,Inactive
A0104,C0104,Savings,336049,2020-09-14,Inactive
A0105,C0105,Current,248855,2019-10-25,Active
A0106,C0106,Current,11077,2019-06-08,Active
A0107,C0107,Current,170123,2021-05-18,Inactive
A0108,C0108,Savings,406645,2019-10-17,Active
A0109,C0109,Current,106286,2021-12-22,Inactive
A0110,C0110,Savings,276340,2019-11-03,Inactive
A0111,C0111,Current,250800,2021-01-29,Inactive
A0112,C0112,Savings,193763,2021-06-20,Active
A0113,C0113,Current,462750,2020-04-08,Active
A0114,C0114,Current,441601,2021-08-28,Inactive
A0115,C0115,Current,29955,2021-06-18,Active
A0116,C0116,Savings,423160,2020-10-31,Active
A0117,C0117,Savings,133062,2021-10-12,Active
A0118,C0118,Savings,350977,2021-04-14,Inactive
A0119,C0119,Current,440088,2023-01-25,Inactive
A0120,C0120,Current,354988,2023-05-03,Inactive
A0121,C0121,Current,182287,2020-07-06,Inactive
A0122,C0122,Current,161295,2020-05-13,Inactive
A0123,C0123,Savings,284368,2019-06-28,Active
A0124,C0124,Current,344172,2021-02-28,Active
A0125,C0125,Current,61275,2020-11-25,Inactive
A0126,C0126,Savings,324939,2021-02-21,Active
A0127,C0127,Savings,340992,2021-10-03,Active
A0128,C0128,Current,152227,2019-12-31,Inactive
A0129,C0129,Savings,308407,2021-02-04,Inactive
A0130,C0130,Current,466203,2018-12-10,Active
A0131,C0131,Current,346450,2020-12-24,Active
A0132,C0132,Current,141028,2020-04-01,Inactive
A0133,C0133,Savings,166039,2019-05-02,Active
A0134,C0134,Current,341008,2018-10-24,Inactive
A0135,C0135,Savings,293179,2023-06-07,Active
A0136,C0136,Current,490580,2018-10-13,Inactive
A0137,C0137,Savings,426366,2018-07-06,Inactive
A0138,C0138,Savings,412757,2020-09-19,Inactive
A0139,C0139,Savings,398982,2018-09-13,Active
A0140,C0140,Current,120583,2019-07-12,Inactive
A0141,C0141,Current,304023,2018-05-25,Active
A0142,C0142,Savings,168888,2019-06-26,Active
A0143,C0143,Current,464569,2022-12-27,Inactive
A0144,C0144,Savings,292626,2019-08-30,Inactive
A0145,C0145,Savings,356661,2020-07-25,Active
A0146,C0146,Savings,175858,2020-12-24,Inactive
A0147,C0147,Current,196272,2021-07-24,Inactive
A0148,C0148,Savings,360388,2019-11-27,Active
A0149,C0149,Savings,249363,2020-08-20,Active
A0150,C0150,Savings,132823,2018-08-06,Inactive
A0151,C0151,Current,376398,2022-03-10,Active
A0152,C0152,Current,387359,2018-08-03,Active
A0153,C0153,Savings,443101,2019-03-03,Inactive
A0154,C0154,Savings,412740,2019-11-27,Active
A0155,C0155,Current,292123,2020-04-10,Active
A0156,C0156,Current,425098,2020-12-24,Active
A0157,C0157,Savings,257975,2023-01-10,Active
A0158,C0158,Savings,319257,2022-04-19,Inactive
A0159,C0159,Current,22008,2023-05-31,Active
A0160,C0160,Current,379974,2020-12-06,Inactive
A0161,C0161,Savings,211287,2021-06-17,Inactive
A0162,C0162,Savings,476095,2018-06-19,Active
A0163,C0163,Savings,41380,2019-10-06,Active
A0164,C0164,Current,466407,2020-01-31,Inactive
A0165,C0165,Savings,60835,2019-06-24,Active
A0166,C0166,Savings,210759,2019-09-10,Inactive
A0167,C0167,Savings,485663,2022-03-05,Inactive
A0168,C0168,Current,80714,2022-10-28,Active
A0169,C0169,Current,272062,2023-06-04,Inactive
A0170,C0170,Current,24408,2022-01-19,Inactive
A0171,C0171,Savings,81990,2020-09-09,Inactive
A0172,C0172,Savings,357979,2022-01-20,Inactive
A0173,C0173,Current,146509,2020-09-08,Inactive
A0174,C0174,Current,34875,2019-09-14,Inactive
A0175,C0175,Current,228812,2022-01-15,Inactive
A0176,C0176,Current,11569,2021-04-19,Inactive
A0177,C0177,Savings,435499,2022-06-28,Inactive
A0178,C0178,Savings,348119,2022-07-28,Inactive
A0179,C0179,Current,340335,2022-10-22,Active
A0180,C0180,Savings,396615,2021-10-28,Active
A0181,C0181,Savings,91453,2021-10-23,Inactive
A0182,C0182,Savings,84009,2018-06-21,Inactive
A0183,C0183,Current,166921,2023-02-08,Active
A0184,C0184,Savings,440356,2022-11-13,Active
A0185,C0185,Current,474029,2021-03-08,Active
A0186,C0186,Current,270903,2023-06-06,Active
A0187,C0187,Current,292765,2020-04-16,Active
A0188,C0188,Savings,56379,2020-03-26,Inactive
A0189,C0189,Current,342697,2023-03-13,Active
A0190,C0190,Savings,194782,2020-08-30,Inactive
A0191,C0191,Current,374800,2020-10-24,Active
A0192,C0192,Savings,41896,2018-07-23,Active
A0193,C0193,Current,305835,2020-11-30,Active
A0194,C0194,Current,453024,2019-07-23,Active
A0195,C0195,Current,245147,2022-08-01,Active
A0196,C0196,Savings,345870,2018-11-02,Inactive
A0197,C0197,Savings,476934,2018-08-03,Inactive
A0198,C0198,Savings,157734,2019-03-05,Inactive
A0199,C0199,Savings,406197,2019-06-26,Inactive
A0200,C0200,Savings,394265,2020-03-18,Active
A0201,C0201,Current,146969,2021-09-24,Inactive
A0202,C0202,Savings,312157,2022-07-10,Inactive
A0203,C0203,Current,22679,2019-02-25,Inactive
A0204,C0204,Savings,420994,2020-08-27,Inactive
A0205,C0205,Current,102345,2020-07-19,Inactive
A0206,C0206,Savings,131256,2022-07-17,Inactive
A0207,C0207,Current,421771,2023-04-02,Active
A0208,C0208,Current,206713,2018-08-15,Active
A0209,C0209,Current,46130,2018-09-21,Inactive
A0210,C0210,Current,484247,2020-06-14,Inactive
A0211,C0211,Current,384040,2018-05-30,Inactive
A0212,C0212,Current,335342,2022-05-10,Inactive
A0213,C0213,Current,112410,2019-10-20,Inactive
A0214,C0214,Current,251283,2020-05-24,Active
A0215,C0215,Current,174689,2019-08-11,Inactive
A0216,C0216,Current,258002,2020-06-15,Inactive
A0217,C0217,Savings,374480,2023-06-08,Active
A0218,C0218,Current,151191,2022-06-29,Active
A0219,C0219,Current,209907,2019-03-29,Inactive
A0220,C0220,Savings,209303,2021-08-06,Inactive
A0221,C0221,Current,487188,2022-10-13,Inactive
A0222,C0222,Savings,475012,2018-06-23,Inactive
A0223,C0223,Current,374940,2019-12-26,Active
A0224,C0224,Savings,429949,2023-02-11,Active
A0225,C0225,Savings,26742,2019-09-18,Active
A0226,C0226,Savings,147223,2019-04-17,Active
A0227,C0227,Current,78690,2021-06-19,Inactive
A0228,C0228,Current,110473,2018-05-15,Active
A0229,C0229,Savings,93961,2020-03-18,Active
A0230,C0230,Savings,408391,2018-02-05,Inactive
A0231,C0231,Savings,353478,2018-07-03,Inactive
A0232,C0232,Savings,118665,2021-04-05,Active
A0233,C0233,Savings,368755,2020-10-03,Inactive
A0234,C0234,Savings,295648,2020-01-02,Inactive
A0235,C0235,Savings,19632,2021-12-02,Inactive
A0236,C0236,Current,50766,2021-05-21,Active
A0237,C0237,Savings,215741,2018-08-24,Inactive
A0238,C0238,Savings,323752,2018-05-17,Inactive
A0239,C0239,Current,94675,2021-10-15,Inactive
A0240,C0240,Savings,440324,2022-09-18,Active
A0241,C0241,Current,13761,2020-02-21,Inactive
A0242,C0242,Savings,19435,2022-07-13,Inactive
A0243,C0243,Current,267002,2020-08-10,Inactive
A0244,C0244,Current,226510,2018-03-01,Active
A0245,C0245,Current,247585,2019-11-18,Inactive
A0246,C0246,Savings,243245,2022-07-03,Inactive
A0247,C0247,Savings,255596,2018-06-16,Active
A0248,C0248,Current,464669,2018-07-23,Active
A0249,C0249,Current,497719,2018-09-23,Inactive
A0250,C0250,Savings,80108,2019-01-22,Inactive
A0251,C0251,Savings,467237,2021-03-31,Active
A0252,C0252,Savings,275631,2021-01-14,Active
A0253,C0253,Savings,208342,2021-09-13,Inactive
A0254,C0254,Current,183965,2021-06-08,Active
A0255,C0255,Savings,191653,2020-02-18,Inactive
A0256,C0256,Current,211667,2022-03-14,Active
A0257,C0257,Savings,336563,2023-03-05,Active
A0258,C0258,Current,374592,2018-02-18,Active
A0259,C0259,Current,217711,2019-04-13,Active
A0260,C0260,Savings,219363,2021-12-30,Inactive
A0261,C0261,Savings,250446,2023-05-22,Active
A0262,C0262,Savings,493795,2021-02-07,Inactive
A0263,C0263,Savings,90266,2018-08-15,Inactive
A0264,C0264,Savings,491632,2019-06-28,Active
A0265,C0265,Savings,348765,2020-08-04,Active
A0266,C0266,Current,349011,2018-05-01,Inactive
A0267,C0267,Savings,161038,2018-08-15,Active
A0268,C0268,Savings,239287,2020-02-26,Active
A0269,C0269,Current,469995,2021-04-26,Active
A0270,C0270,Current,119361,2018-11-11,Active
A0271,C0271,Savings,449121,2018-01-08,Inactive
A0272,C0272,Current,65801,2023-02-07,Inactive
A0273,C0273,Current,15476,2019-07-28,Inactive
A0274,C0274,Savings,269620,2019-08-14,Inactive
A0275,C0275,Current,15622,2021-12-31,Inactive
A0276,C0276,Current,238674,2019-01-29,Active
A0277,C0277,Savings,392577,2022-11-05,Active
A0278,C0278,Savings,231941,2022-12-11,Active
A0279,C0279,Savings,191343,2021-05-20,Active
A0280,C0280,Savings,309827,2021-06-21,Inactive
A0281,C0281,Current,118134,2019-01-09,Inactive
A0282,C0282,Current,324027,2021-10-08,Inactive
A0283,C0283,Savings,497370,2020-02-19,Inactive
A0284,C0284,Savings,38291,2019-08-17,Active
A0285,C0285,Current,14953,2022-04-23,Inactive
A0286,C0286,Current,119993,2022-09-09,Inactive
A0287,C0287,Current,223815,2022-09-16,Inactive
A0288,C0288,Savings,194050,2019-11-06,Inactive
A0289,C0289,Savings,342259,2021-12-13,Active
A0290,C0290,Current,326454,2019-03-10,Active
A0291,C0291,Current,424820,2020-01-13,Active
A0292,C0292,Savings,372346,2018-03-26,Inactive
A0293,C0293,Current,244880,2019-10-14,Active
A0294,C0294,Current,107060,2023-02-24,Inactive
A0295,C0295,Savings,29757,2021-08-07,Inactive
A0296,C0296,Current,333085,2018-07-17,Active
A0297,C0297,Savings,169767,2019-06-30,Inactive
A0298,C0298,Current,467344,2022-03-08,Inactive
A0299,C0299,Savings,76003,2018-10-06,Active
A0300,C0300,Current,29936,2022-12-25,Active
A0301,C0301,Savings,358876,2023-04-25,Active
A0302,C0302,Current,399856,2022-03-23,Active
A0303,C0303,Savings,297221,2022-04-26,Active
A0304,C0304,Savings,351360,2021-07-12,Active
A0305,C0305,Savings,233287,2018-02-09,Inactive
A0306,C0306,Savings,222514,2022-01-30,Inactive
A0307,C0307,Savings,437106,2018-05-19,Inactive
A0308,C0308,Savings,21282,2023-05-29,Active
A0309,C0309,Current,412268,2019-09-26,Inactive
A0310,C0310,Savings,347874,2022-05-30,Inactive
A0311,C0311,Savings,39109,2022-12-03,Inactive
A0312,C0312,Current,379391,2018-07-26,Inactive
A0313,C0313,Savings,10267,2021-09-21,Active
A0314,C0314,Savings,244605,2018-11-10,Active
A0315,C0315,Savings,294562,2018-04-02,Active
A0316,C0316,Current,235426,2022-05-10,Inactive
A0317,C0317,Savings,48656,2019-03-03,Active
A0318,C0318,Current,336998,2021-02-28,Inactive
A0319,C0319,Savings,452336,2021-02-13,Inactive
A0320,C0320,Current,203293,2022-06-11,Active
A0321,C0321,Current,155313,2019-02-02,Inactive
A0322,C0322,Savings,53698,2018-01-21,Inactive
A0323,C0323,Current,480567,2021-12-10,Active
A0324,C0324,Current,101765,2018-08-28,Active
A0325,C0325,Savings,202457,2020-09-09,Active
A0326,C0326,Savings,240935,2019-11-10,Inactive
A0327,C0327,Current,245959,2022-02-09,Inactive
A0328,C0328,Savings,96092,2019-12-01,Inactive
A0329,C0329,Current,58230,2018-10-31,Active
A0330,C0330,Savings,147125,2020-12-23,Inactive
A0331,C0331,Current,421732,2022-07-30,Active
A0332,C0332,Current,287219,2018-01-05,Inactive
A0333,C0333,Savings,180016,2020-05-22,Active
A0334,C0334,Current,429479,2018-08-05,Active
A0335,C0335,Savings,26022,2018-04-27,Inactive
A0336,C0336,Current,404461,2021-12-09,Active
A0337,C0337,Savings,362635,2019-10-03,Inactive
A0338,C0338,Current,315347,2020-11-28,Inactive
A0339,C0339,Current,454416,2018-04-16,Active
A0340,C0340,Current,47984,2021-12-30,Inactive
A0341,C0341,Savings,296171,2018-01-20,Active
A0342,C0342,Current,231852,2018-03-05,Inactive
A0343,C0343,Current,475857,2018-08-31,Inactive
A0344,C0344,Savings,184624,2019-08-28,Active
A0345,C0345,Savings,287584,2019-08-25,Active
A0346,C0346,Current,216624,2020-04-01,Inactive
A0347,C0347,Current,354191,2020-11-07,Active
A0348,C0348,Current,461141,2018-10-25,Inactive
A0349,C0349,Savings,473103,2021-01-22,Active
A0350,C0350,Current,368033,2021-06-10,Active
A0351,C0351,Savings,352922,2018-04-29,Inactive
A0352,C0352,Current,165018,2021-09-17,Active
A0353,C0353,Current,428509,2020-04-04,Inactive
A0354,C0354,Current,199514,2018-06-22,Active
A0355,C0355,Savings,132355,2022-05-17,Active
A0356,C0356,Savings,440566,2021-04-23,Inactive
A0357,C0357,Savings,446489,2021-10-31,Active
A0358,C0358,Current,222924,2019-11-17,Inactive
A0359,C0359,Savings,204502,2019-02-28,Active
A0360,C0360,Current,107369,2019-05-07,Inactive
A0361,C0361,Savings,253510,2019-12-29,Inactive
A0362,C0362,Current,6944,2022-12-08,Inactive
A0363,C0363,Current,243741,2019-06-25,Active
A0364,C0364,Savings,303376,2019-09-23,Inactive
A0365,C0365,Savings,484068,2021-03-12,Inactive
A0366,C0366,Savings,228056,2018-11-15,Inactive
A0367,C0367,Current,283582,2021-02-06,Active
A0368,C0368,Current,260713,2019-04-25,Active
A0369,C0369,Current,253177,2020-09-03,Inactive
A0370,C0370,Savings,239256,2020-06-08,Inactive
A0371,C0371,Current,452146,2020-08-11,Active
A0372,C0372,Savings,94658,2020-03-14,Inactive
A0373,C0373,Current,385808,2022-09-03,Inactive
A0374,C0374,Current,171892,2022-08-17,Inactive
A0375,C0375,Current,374933,2021-07-09,Active
A0376,C0376,Savings,119142,2020-03-31,Active
A0377,C0377,Current,166402,2022-09-15,Inactive
A0378,C0378,Savings,376266,2018-09-05,Inactive
A0379,C0379,Savings,68360,2018-11-21,Active
A0380,C0380,Current,299233,2021-03-08,Inactive
A0381,C0381,Savings,52957,2018-08-10,Inactive
A0382,C0382,Current,405153,2019-09-26,Active
A0383,C0383,Current,327859,2021-05-26,Inactive
A0384,C0384,Savings,468041,2018-09-09,Inactive
A0385,C0385,Savings,458378,2020-05-29,Inactive
A0386,C0386,Current,226181,2021-11-11,Inactive
A0387,C0387,Savings,263890,2020-05-23,Inactive
A0388,C0388,Current,127935,2022-01-23,Inactive
A0389,C0389,Current,62374,2018-11-24,Active
A0390,C0390,Savings,456221,2021-06-23,Inactive
A0391,C0391,Savings,168843,2021-09-24,Active
A0392,C0392,Savings,310085,2022-04-02,Inactive
A0393,C0393,Current,64975,2021-04-08,Inactive
A0394,C0394,Savings,350580,2021-01-09,Inactive
A0395,C0395,Savings,287274,2021-10-30,Active
A0396,C0396,Savings,89418,2023-06-15,Active
A0397,C0397,Current,148753,2019-03-14,Inactive
A0398,C0398,Current,53741,2021-02-27,Inactive
A0399,C0399,Savings,104029,2019-03-15,Inactive
A0400,C0400,Savings,394001,2023-04-23,Active
A0401,C0401,Current,26097,2018-05-15,Active
A0402,C0402,Current,392225,2022-02-10,Inactive
A0403,C0403,Current,244272,2019-01-25,Active
A0404,C0404,Savings,483245,2018-06-23,Active
A0405,C0405,Savings,194196,2019-04-24,Inactive
A0406,C0406,Current,276655,2018-03-07,Inactive
A0407,C0407,Current,317879,2018-10-08,Active
A0408,C0408,Current,474651,2022-10-17,Active
A0409,C0409,Savings,190405,2018-06-12,Inactive
A0410,C0410,Savings,200912,2021-04-10,Inactive
A0411,C0411,Savings,108803,2023-04-27,Inactive
A0412,C0412,Savings,470735,2020-07-18,Active
A0413,C0413,Current,210250,2020-06-11,Inactive
A0414,C0414,Current,421068,2022-08-03,Active
A0415,C0415,Current,180630,2022-03-08,Active
A0416,C0416,Current,316431,2018-02-28,Active
A0417,C0417,Current,83400,2020-11-15,Inactive
A0418,C0418,Savings,47551,2018-11-20,Active
A0419,C0419,Current,114399,2022-04-06,Active
A0420,C0420,Savings,413010,2021-02-16,Inactive
A0421,C0421,Savings,41429,2022-12-16,Active
A0422,C0422,Savings,112714,2018-12-17,Inactive
A0423,C0423,Savings,251435,2022-01-22,Inactive
A0424,C0424,Current,373840,2022-06-14,Inactive
A0425,C0425,Current,416325,2022-04-05,Active
A0426,C0426,Current,213542,2020-03-02,Inactive
A0427,C0427,Current,125306,2022-03-18,Active
A0428,C0428,Current,479667,2018-03-21,Active
A0429,C0429,Savings,224646,2018-03-01,Inactive
A0430,C0430,Current,62542,2018-02-11,Active
A0431,C0431,Savings,91126,2022-04-18,Inactive
A0432,C0432,Savings,149073,2019-11-14,Active
A0433,C0433,Savings,114155,2021-02-07,Active
A0434,C0434,Savings,197962,2019-12-30,Active
A0435,C0435,Current,182865,2020-04-20,Inactive
A0436,C0436,Current,351506,2018-05-12,Active
A0437,C0437,Savings,493265,2022-10-06,Active
A0438,C0438,Current,438194,2020-09-06,Active
A0439,C0439,Current,488289,2018-10-04,Inactive
A0440,C0440,Current,138475,2019-12-21,Inactive
A0441,C0441,Savings,112380,2021-10-16,Inactive
A0442,C0442,Current,350435,2019-03-09,Inactive
A0443,C0443,Savings,496566,2022-01-03,Inactive
A0444,C0444,Savings,81033,2018-01-23,Active
A0445,C0445,Current,488365,2019-12-31,Inactive
A0446,C0446,Current,186396,2020-11-07,Active
A0447,C0447,Savings,96363,2018-05-07,Active
A0448,C0448,Current,372149,2022-12-15,Active
A0449,C0449,Savings,131963,2022-01-03,Inactive
A0450,C0450,Savings,39592,2020-05-08,Active
A0451,C0451,Current,257050,2020-04-01,Inactive
A0452,C0452,Current,364294,2021-11-27,Active
A0453,C0453,Savings,139901,2020-09-18,Active
A0454,C0454,Savings,154574,2020-08-02,Active
A0455,C0455,Current,126786,2020-07-27,Inactive
A0456,C0456,Current,330544,2020-06-11,Active
A0457,C0457,Savings,252821,2018-11-23,Inactive
A0458,C0458,Savings,315320,2021-09-15,Active
A0459,C0459,Current,34909,2020-11-18,Inactive
A0460,C0460,Current,393624,2022-02-14,Active
A0461,C0461,Savings,269060,2019-08-20,Active
A0462,C0462,Current,144900,2018-08-27,Inactive
A0463,C0463,Savings,399267,2022-08-23,Inactive
A0464,C0464,Savings,179081,2019-09-16,Active
A0465,C0465,Savings,431015,2018-03-29,Inactive
A0466,C0466,Savings,341515,2022-06-22,Active
A0467,C0467,Savings,169146,2019-01-01,Inactive
A0468,C0468,Current,151133,2021-10-31,Active
A0469,C0469,Savings,460893,2021-02-08,Active
A0470,C0470,Savings,95365,2018-04-04,Inactive
A0471,C0471,Savings,368774,2021-12-21,Active
A0472,C0472,Current,157791,2019-08-21,Inactive
A0473,C0473,Savings,426609,2021-06-07,Inactive
A0474,C0474,Savings,168049,2020-01-25,Active
A0475,C0475,Current,221568,2023-01-06,Active
A0476,C0476,Savings,117029,2020-07-25,Active
A0477,C0477,Current,67162,2018-07-04,Inactive
A0478,C0478,Savings,425656,2022-09-10,Inactive
A0479,C0479,Savings,159069,2019-07-12,Inactive
A0480,C0480,Savings,41960,2021-10-10,Active
A0481,C0481,Savings,414784,2023-04-02,Active
A0482,C0482,Savings,308170,2022-02-23,Inactive
A0483,C0483,Savings,21824,2021-02-22,Active
A0484,C0484,Current,444357,2023-02-28,Active
A0485,C0485,Savings,344813,2022-03-02,Inactive
A0486,C0486,Current,71690,2023-03-05,Inactive
A0487,C0487,Current,45270,2019-11-18,Active
A0488,C0488,Savings,467323,2019-09-06,Active
A0489,C0489,Current,60400,2020-03-15,Active
A0490,C0490,Current,482476,2022-06-23,Active
A0491,C0491,Savings,468146,2023-05-23,Active
A0492,C0492,Current,360126,2022-01-31,Inactive
A0493,C0493,Current,100037,2022-09-07,Active
A0494,C0494,Savings,330089,2019-12-09,Active
A0495,C0495,Savings,206081,2023-02-10,Inactive
A0496,C0496,Current,282940,2021-07-31,Active
A0497,C0497,Savings,480032,2020-06-23,Inactive
A0498,C0498,Current,155185,2021-02-05,Inactive
A0499,C0499,Current,337543,2021-11-11,Active
A0500,C0500,Current,398054,2020-05-31,Active
A0501,C0501,Current,438960,2020-11-02,Inactive
A0502,C0502,Current,133411,2023-01-31,Active
A0503,C0503,Current,259572,2022-07-10,Active
A0504,C0504,Savings,274984,2020-02-07,Active
A0505,C0505,Savings,201772,2019-09-04,Inactive
A0506,C0506,Current,87600,2020-12-30,Active
A0507,C0507,Savings,175271,2023-01-28,Inactive
A0508,C0508,Savings,198693,2021-06-10,Inactive
A0509,C0509,Savings,440508,2020-12-18,Active
A0510,C0510,Current,447405,2021-04-02,Active
A0511,C0511,Current,227049,2019-07-26,Inactive
A0512,C0512,Savings,430923,2018-04-14,Active
A0513,C0513,Savings,454020,2019-10-31,Active
A0514,C0514,Current,94769,2018-09-21,Inactive
A0515,C0515,Current,301188,2022-03-18,Active
A0516,C0516,Savings,267132,2022-08-28,Active
A0517,C0517,Current,46505,2021-10-05,Inactive
A0518,C0518,Savings,68678,2021-11-30,Inactive
A0519,C0519,Current,212232,2018-07-18,Active
A0520,C0520,Savings,108972,2021-03-28,Inactive
A0521,C0521,Savings,262218,2021-04-18,Active
A0522,C0522,Current,266766,2022-12-07,Inactive
A0523,C0523,Current,85984,2019-09-23,Active
A0524,C0524,Savings,182687,2019-04-02,Active
A0525,C0525,Savings,244533,2021-04-01,Inactive
A0526,C0526,Current,205980,2021-01-09,Inactive
A0527,C0527,Current,318410,2021-04-03,Active
A0528,C0528,Savings,217944,2020-10-29,Active
A0529,C0529,Current,347972,2018-09-04,Active
A0530,C0530,Current,374158,2020-09-04,Inactive
A0531,C0531,Current,80971,2021-04-06,Inactive
A0532,C0532,Savings,133685,2023-01-12,Inactive
A0533,C0533,Savings,45761,2021-11-02,Inactive
A0534,C0534,Savings,468288,2021-06-24,Active
A0535,C0535,Savings,204009,2021-12-15,Active
A0536,C0536,Current,394778,2022-01-02,Inactive
A0537,C0537,Current,260119,2021-10-28,Active
A0538,C0538,Savings,100506,2023-05-15,Inactive
A0539,C0539,Current,7024,2022-02-09,Active
A0540,C0540,Current,343022,2023-03-13,Inactive
A0541,C0541,Current,412373,2023-05-25,Inactive
A0542,C0542,Current,85251,2018-02-07,Inactive
A0543,C0543,Current,400887,2018-03-22,Inactive
A0544,C0544,Savings,12670,2023-02-11,Active
A0545,C0545,Current,342054,2022-01-09,Active
A0546,C0546,Savings,261300,2023-05-12,Active
