payment_id,loan_id,due_date,payment_date,amount_paid,payment_status
P000084,L6298,2022-02-19,2022-03-11,12514,Delayed
P000085,L8266,2022-06-11,2022-06-21,19453,Delayed
P000086,L6887,2021-08-12,2021-08-12,40722,Paid
P000087,L6961,2022-11-03,2022-11-23,33020,Delayed
P000088,L8748,2021-07-19,,3621,Missed
P000089,L1836,2021-03-11,2021-03-11,3737,Paid
P000090,L2893,2022-09-17,2022-09-17,30361,Paid
P000091,L4095,2022-05-23,2022-05-23,20496,Paid
P000092,L8005,2021-11-12,2021-11-17,31387,Delayed
P000093,L7097,2022-07-31,2022-08-20,11449,Delayed
P000094,L5598,2020-05-15,2020-06-04,40523,Delayed
P000095,L8282,2021-12-05,2021-12-25,30504,Delayed
P000096,L7085,2023-09-03,2023-09-03,8172,Paid
P000097,L1828,2020-10-07,,45444,Missed
P000098,L2468,2022-03-25,2022-03-25,29452,Paid
P000099,L6139,2023-09-11,2023-09-16,37479,Delayed
P000100,L7928,2020-08-19,2020-08-19,9381,Paid
P000101,L7733,2022-02-03,2022-02-13,17180,Delayed
P000102,L2989,2023-05-10,2023-05-30,31658,Delayed
P000103,L2845,2023-01-06,2023-01-26,31731,Delayed
P000104,L8274,2022-04-30,2022-05-05,4074,Delayed
P000105,L7177,2023-08-26,2023-08-26,16027,Paid
P000106,L6532,2020-01-20,2020-02-09,47307,Delayed
P000107,L3467,2022-11-21,,37197,Missed
P000108,L4426,2022-01-10,2022-01-10,23282,Paid
P000109,L3583,2021-06-12,2021-06-12,11049,Paid
P000110,L5896,2023-06-17,2023-06-27,23235,Delayed
P000111,L2708,2021-12-10,2021-12-15,2501,Delayed
P000112,L6227,2022-04-22,2022-05-12,34912,Delayed
P000113,L3145,2020-07-18,2020-07-18,38470,Paid
P000114,L3071,2020-04-18,2020-04-18,36994,Paid
P000115,L8685,2023-12-07,,1749,Missed
P000116,L4747,2023-06-24,,7114,Missed
P000117,L1329,2023-11-16,2023-12-06,20192,Delayed
P000118,L2362,2021-06-23,2021-07-03,41880,Delayed
P000119,L7501,2023-08-08,2023-08-18,13351,Delayed
P000120,L3411,2021-08-10,2021-08-10,9365,Paid
P000121,L3978,2022-02-09,2022-02-09,21224,Paid
P000122,L4844,2021-07-02,2021-07-02,13060,Paid
P000123,L1150,2021-06-17,2021-06-22,45202,Delayed
P000124,L6394,2023-12-29,2024-01-18,43834,Delayed
P000125,L5490,2021-05-19,2021-06-08,44944,Delayed
P000126,L4994,2022-09-29,2022-10-04,32749,Delayed
P000127,L3825,2022-08-01,2022-08-01,39007,Paid
P000128,L8740,2020-07-13,2020-07-18,43456,Delayed
P000129,L2818,2021-10-24,2021-10-24,45969,Paid
P000130,L5419,2020-06-25,2020-06-30,27308,Delayed
P000131,L3586,2023-12-27,2024-01-16,5167,Delayed
P000132,L5569,2023-04-26,2023-05-16,39570,Delayed
P000133,L7753,2023-05-10,2023-05-10,32820,Paid
P000134,L2799,2020-11-12,2020-12-02,32455,Delayed
P000135,L2559,2020-02-12,2020-02-22,15762,Delayed
P000136,L8827,2023-07-06,2023-07-26,36340,Delayed
P000137,L0154,2020-11-14,2020-12-04,28871,Delayed
P000138,L5832,2020-06-19,,13919,Missed
P000139,L0043,2022-02-05,,21452,Missed
P000140,L0451,2024-01-05,2024-01-05,1176,Paid
P000141,L5748,2021-08-16,2021-08-16,16400,Paid
P000142,L0989,2024-01-30,2024-02-19,45129,Delayed
P000143,L5074,2022-01-14,2022-02-03,34879,Delayed
P000144,L2368,2020-02-01,2020-02-01,43539,Paid
P000145,L5199,2021-10-04,2021-10-04,27920,Paid
P000146,L6266,2023-03-27,2023-03-27,35586,Paid
P000147,L5450,2023-09-28,2023-10-03,35485,Delayed
P000148,L3299,2020-12-18,2020-12-28,35062,Delayed
P000149,L1678,2020-02-13,2020-02-13,33073,Paid
P000150,L8965,2022-09-26,2022-10-06,35366,Delayed
P000151,L7225,2022-04-14,2022-05-04,34090,Delayed
P000152,L4593,2020-12-14,2020-12-14,1597,Paid
P000153,L0128,2020-07-23,2020-08-02,27615,Delayed
P000154,L1901,2021-12-05,2021-12-05,21372,Paid
P000155,L3903,2021-04-14,2021-04-19,15581,Delayed
P000156,L6289,2021-08-14,2021-08-14,48742,Paid
P000157,L3237,2021-10-16,,21860,Missed
P000158,L2034,2021-04-18,2021-04-23,27357,Delayed
P000159,L3640,2020-07-21,2020-08-10,17397,Delayed
P000160,L8648,2023-09-14,,12414,Missed
P000161,L0919,2023-05-24,2023-06-13,42484,Delayed
P000162,L3051,2020-06-24,2020-07-04,13578,Delayed
P000163,L2697,2023-11-02,2023-11-07,6903,Delayed
P000164,L5885,2020-02-25,2020-02-25,36439,Paid
P000165,L7503,2020-11-10,2020-11-15,18282,Delayed
P000166,L5862,2020-10-29,2020-11-08,25171,Delayed
P000167,L6746,2020-02-23,2020-03-04,20005,Delayed
P000168,L8673,2023-12-18,2023-12-23,40906,Delayed
P000169,L8410,2023-03-21,2023-03-21,41383,Paid
P000170,L1636,2022-08-17,2022-09-06,20758,Delayed
P000171,L2176,2021-09-12,2021-09-12,12099,Paid
P000172,L2225,2021-02-28,2021-02-28,16519,Paid
P000173,L0243,2021-02-28,2021-03-05,43748,Delayed
P000174,L1139,2020-03-13,2020-03-18,44268,Delayed
P000175,L1157,2021-02-27,,47687,Missed
P000176,L3278,2023-07-28,2023-08-07,11175,Delayed
P000177,L5936,2023-11-26,,18220,Missed
P000178,L7519,2020-10-31,2020-10-31,40141,Paid
P000179,L2874,2023-09-09,2023-09-29,16374,Delayed
P000180,L3002,2020-12-20,2020-12-20,22090,Paid
P000181,L6958,2023-08-30,2023-09-09,45072,Delayed
P000182,L6957,2023-08-12,2023-08-22,33152,Delayed
P000183,L0047,2020-04-11,2020-04-11,39399,Paid
P000184,L5275,2023-03-01,2023-03-11,24675,Delayed
P000185,L2804,2023-04-10,2023-04-10,40016,Paid
P000186,L3374,2021-11-17,2021-11-27,30843,Delayed
P000187,L0680,2021-09-25,2021-09-25,30685,Paid
P000188,L2792,2022-10-14,2022-10-24,21090,Delayed
P000189,L3444,2022-01-28,2022-01-28,29866,Paid
P000190,L7050,2021-12-04,2021-12-09,19451,Delayed
P000191,L6724,2022-11-11,2022-11-11,39121,Paid
P000192,L5731,2021-07-26,2021-07-26,20481,Paid
P000193,L4371,2020-01-11,2020-01-11,20468,Paid
P000194,L0997,2021-02-06,,35234,Missed
P000195,L2104,2023-05-10,2023-05-15,4484,Delayed
P000196,L4031,2020-06-22,2020-07-02,20650,Delayed
P000197,L1548,2021-01-20,2021-01-20,3371,Paid
P000198,L1575,2021-11-18,2021-11-18,45431,Paid
P000199,L6060,2023-05-15,,1215,Missed
P000200,L8598,2022-11-19,2022-11-24,13465,Delayed
P000201,L5867,2024-02-07,2024-02-12,49880,Delayed
P000202,L4607,2020-04-29,2020-04-29,29561,Paid
P000203,L1407,2023-01-21,2023-02-10,17874,Delayed
P000204,L2018,2024-02-06,2024-02-26,21161,Delayed
P000205,L6767,2021-03-19,,14735,Missed
P000206,L3033,2023-05-28,2023-05-28,39395,Paid
P000207,L3404,2021-06-20,2021-06-20,44413,Paid
P000208,L2758,2020-04-10,2020-04-20,13818,Delayed
P000209,L0967,2021-09-16,2021-09-21,44354,Delayed
P000210,L4411,2024-01-16,2024-01-26,30994,Delayed
P000211,L8263,2021-10-04,2021-10-04,27609,Paid
P000212,L7720,2021-07-04,2021-07-14,46934,Delayed
P000213,L2516,2020-04-11,2020-04-11,49391,Paid
P000214,L0365,2021-04-07,2021-04-07,35822,Paid
P000215,L5155,2020-04-30,2020-05-20,19592,Delayed
P000216,L5910,2020-07-20,2020-07-25,31560,Delayed
P000217,L2848,2021-10-14,,33307,Missed
P000218,L8021,2021-08-19,2021-09-08,6415,Delayed
P000219,L7449,2021-02-10,2021-02-10,13311,Paid
P000220,L6941,2020-09-04,2020-09-14,28709,Delayed
P000221,L6885,2022-08-12,2022-09-01,32098,Delayed
P000222,L2398,2021-04-10,2021-04-30,15906,Delayed
P000223,L5109,2020-11-22,2020-11-22,6730,Paid
P000224,L4765,2022-12-30,2022-12-30,47237,Paid
P000225,L6490,2021-10-12,,31467,Missed
P000226,L7022,2021-06-27,2021-06-27,20367,Paid
P000227,L8088,2022-07-12,2022-07-22,10940,Delayed
P000228,L2991,2022-07-09,2022-07-09,49913,Paid
P000229,L4486,2022-01-24,,23176,Missed
P000230,L1457,2020-10-02,2020-10-07,42496,Delayed
P000231,L6261,2022-01-13,2022-01-13,11243,Paid
P000232,L4615,2021-05-13,2021-05-13,16807,Paid
P000233,L3814,2021-06-29,2021-07-09,11646,Delayed
P000234,L2815,2022-05-03,2022-05-08,23929,Delayed
P000235,L6474,2020-09-23,2020-09-23,28513,Paid
P000236,L4415,2022-06-23,2022-06-28,17959,Delayed
P000237,L5082,2023-03-05,2023-03-05,40832,Paid
P000238,L6030,2021-10-31,,48473,Missed
P000239,L4964,2020-06-28,2020-07-08,5607,Delayed
P000240,L1961,2023-01-12,2023-01-12,49148,Paid
P000241,L3019,2023-02-09,2023-02-09,47994,Paid
P000242,L1011,2022-04-20,2022-04-20,5680,Paid
P000243,L6682,2023-01-09,2023-01-09,28832,Paid
P000244,L8835,2021-12-04,2021-12-04,47975,Paid
P000245,L7386,2023-03-13,2023-04-02,2072,Delayed
P000246,L4014,2022-06-05,2022-06-10,10247,Delayed
P000247,L4059,2023-10-28,2023-10-28,41811,Paid
P000248,L3734,2021-09-06,2021-09-06,41349,Paid
P000249,L8296,2021-01-09,2021-01-19,19198,Delayed
P000250,L7802,2021-04-15,2021-04-20,16877,Delayed
P000251,L3152,2020-11-22,,13354,Missed
P000252,L8135,2020-12-22,2020-12-22,5583,Paid
P000253,L8526,2021-12-07,2021-12-17,4087,Delayed
P000254,L5080,2021-10-15,2021-11-04,1748,Delayed
P000255,L3368,2023-09-23,2023-10-13,37140,Delayed
P000256,L1810,2021-01-09,2021-01-09,49720,Paid
P000257,L5704,2020-01-09,2020-01-09,30966,Paid
P000258,L4414,2023-05-16,2023-05-16,42412,Paid
P000259,L2023,2021-11-19,2021-11-19,28490,Paid
P000260,L6259,2022-08-02,2022-08-07,27293,Delayed
P000261,L1016,2022-10-13,2022-11-02,36409,Delayed
P000262,L8973,2023-01-11,2023-01-11,4977,Paid
P000263,L4662,2021-05-17,2021-05-17,38441,Paid
P000264,L7195,2023-10-03,2023-10-03,17113,Paid
P000265,L2501,2020-12-05,2020-12-05,48881,Paid
P000266,L5096,2022-01-20,2022-01-25,47822,Delayed
P000267,L1528,2021-05-22,2021-05-22,42245,Paid
P000268,L8854,2021-07-09,2021-07-09,44318,Paid
P000269,L5514,2022-06-18,2022-06-18,35578,Paid
P000270,L0902,2022-11-03,2022-11-08,16240,Delayed
P000271,L0555,2020-04-18,2020-04-18,18417,Paid
P000272,L0229,2023-09-21,2023-10-01,44726,Delayed
P000273,L1975,2021-05-05,2021-05-05,29299,Paid
P000274,L2992,2021-12-29,2022-01-03,2786,Delayed
P000275,L7053,2020-03-18,2020-03-18,27942,Paid
P000276,L0875,2023-12-14,,33690,Missed
P000277,L6913,2020-09-25,,13008,Missed
P000278,L6235,2021-08-01,2021-08-01,9723,Paid
P000279,L6257,2021-11-11,2021-11-16,35626,Delayed
P000280,L5779,2022-06-19,2022-07-09,10507,Delayed
P000281,L2748,2020-10-29,2020-10-29,20556,Paid
P000282,L6279,2021-02-14,2021-02-14,25365,Paid
P000283,L6195,2020-07-23,2020-08-12,5214,Delayed
P000284,L8849,2023-11-11,,48514,Missed
P000285,L1311,2020-12-03,2020-12-13,19348,Delayed
P000286,L8111,2021-01-05,2021-01-10,35084,Delayed
P000287,L7947,2020-06-10,2020-06-10,21072,Paid
P000288,L7120,2022-04-30,2022-04-30,33741,Paid
P000289,L2290,2023-11-25,2023-12-05,8779,Delayed
P000290,L8694,2023-03-20,2023-04-09,6487,Delayed
P000291,L8068,2022-09-01,2022-09-01,3237,Paid
P000292,L3121,2021-04-05,2021-04-15,13220,Delayed
P000293,L3798,2023-05-25,2023-05-25,42897,Paid
P000294,L6995,2021-06-23,2021-07-03,47917,Delayed
P000295,L2981,2022-06-16,2022-06-21,49229,Delayed
P000296,L2195,2022-06-07,2022-06-27,7530,Delayed
P000297,L4206,2021-08-24,2021-08-24,41597,Paid
P000298,L6126,2021-02-21,2021-02-21,38498,Paid
P000299,L6930,2023-04-01,2023-04-01,1398,Paid
P000300,L2855,2021-09-22,2021-10-02,41209,Delayed
P000301,L7985,2022-03-22,2022-03-22,1514,Paid
P000302,L7443,2021-05-05,,26909,Missed
P000303,L3941,2023-03-03,2023-03-08,9172,Delayed
P000304,L5498,2023-03-03,2023-03-03,37056,Paid
P000305,L0152,2021-01-30,2021-02-19,44237,Delayed
P000306,L4985,2020-11-13,2020-11-13,40796,Paid
P000307,L2863,2021-10-04,2021-10-04,18526,Paid
P000308,L3665,2022-01-16,2022-01-16,1749,Paid
P000309,L5534,2020-05-22,,27518,Missed
P000310,L4537,2023-05-19,2023-05-19,16131,Paid
P000311,L4944,2023-10-06,2023-10-06,37064,Paid
P000312,L8926,2021-07-17,2021-07-17,1287,Paid
P000313,L8329,2024-01-16,2024-01-21,28896,Delayed
P000314,L2911,2023-03-08,2023-03-08,45119,Paid
P000315,L4094,2023-10-01,2023-10-06,39515,Delayed
P000316,L6441,2020-04-22,2020-04-22,1337,Paid
P000317,L0925,2023-07-16,,25257,Missed
P000318,L0027,2021-05-28,2021-06-02,16541,Delayed
P000319,L7292,2021-11-16,2021-11-16,46002,Paid
P000320,L0212,2022-05-10,2022-05-10,18700,Paid
P000321,L8366,2021-11-23,,17770,Missed
P000322,L3742,2022-03-19,2022-03-24,21708,Delayed
P000323,L5734,2023-10-18,2023-10-18,30006,Paid
P000324,L1220,2022-11-08,,23171,Missed
P000325,L1906,2022-11-05,2022-11-05,28570,Paid
P000326,L3140,2021-10-09,2021-10-09,18520,Paid
P000327,L3906,2021-12-02,2021-12-22,32706,Delayed
P000328,L3701,2023-09-14,2023-09-14,29517,Paid
P000329,L5589,2021-02-01,2021-02-01,30931,Paid
P000330,L0255,2023-06-15,2023-07-05,42254,Delayed
P000331,L3648,2022-07-09,2022-07-29,47423,Delayed
P000332,L4065,2021-01-07,2021-01-07,8506,Paid
P000333,L5657,2020-11-19,2020-11-19,36339,Paid
P000334,L0557,2022-03-16,2022-03-16,13566,Paid
P000335,L1528,2021-08-02,2021-08-22,46686,Delayed
P000336,L0971,2021-04-01,,14046,Missed
P000337,L4672,2020-01-14,2020-01-14,38539,Paid
P000338,L6579,2023-01-04,,40076,Missed
P000339,L2077,2022-05-22,2022-05-22,28951,Paid
P000340,L7312,2024-01-05,2024-01-15,33830,Delayed
P000341,L1798,2021-05-18,,18663,Missed
P000342,L2315,2024-01-08,,33498,Missed
P000343,L8361,2022-04-01,2022-04-01,44214,Paid
P000344,L5063,2021-12-15,2021-12-15,29670,Paid
P000345,L6821,2021-11-24,2021-12-04,8517,Delayed
P000346,L0453,2021-08-12,,27721,Missed
P000347,L6232,2021-02-05,,49580,Missed
P000348,L4664,2020-04-09,2020-04-14,44981,Delayed
P000349,L2783,2023-01-24,2023-02-13,37040,Delayed
P000350,L6427,2022-02-26,,4498,Missed
P000351,L0862,2022-07-28,2022-08-17,19940,Delayed
P000352,L5251,2022-05-06,2022-05-06,23825,Paid
P000353,L8992,2021-06-12,2021-06-12,40821,Paid
P000354,L3892,2023-11-10,2023-11-20,14705,Delayed
P000355,L5116,2020-08-05,,30344,Missed
P000356,L0898,2022-03-02,,5805,Missed
P000357,L5833,2021-05-30,2021-06-09,1551,Delayed
P000358,L3836,2020-01-11,2020-01-11,27211,Paid
P000359,L5449,2022-08-19,2022-09-08,36396,Delayed
P000360,L2324,2022-11-24,2022-11-24,47415,Paid
P000361,L8901,2024-01-06,2024-01-26,27070,Delayed
P000362,L5772,2022-03-03,2022-03-03,2201,Paid
P000363,L7864,2021-12-28,2021-12-28,4093,Paid
P000364,L4802,2022-05-09,2022-05-09,34792,Paid
P000365,L5726,2021-09-10,2021-09-30,23341,Delayed
P000366,L7643,2023-01-14,2023-01-14,23537,Paid
P000367,L2405,2023-03-05,2023-03-05,32099,Paid
P000368,L5763,2020-09-08,2020-09-08,24163,Paid
P000369,L8212,2023-01-08,2023-01-13,18267,Delayed
P000370,L7770,2021-03-21,2021-03-21,43780,Paid
P000371,L6053,2022-11-06,2022-11-06,42734,Paid
P000372,L6072,2023-07-05,2023-07-15,17538,Delayed
P000373,L4673,2022-03-06,2022-03-26,36066,Delayed
P000374,L5132,2021-08-11,2021-08-31,1569,Delayed
P000375,L8307,2022-02-24,2022-02-24,39629,Paid
P000376,L7113,2020-08-14,2020-08-19,40286,Delayed
P000377,L8889,2020-06-06,2020-06-16,27709,Delayed
P000378,L4796,2024-01-20,2024-01-25,48870,Delayed
P000379,L1456,2022-10-04,2022-10-04,5813,Paid
P000380,L4104,2022-06-24,2022-06-24,33815,Paid
P000381,L0412,2024-02-05,2024-02-05,38561,Paid
P000382,L0498,2023-07-18,,45742,Missed
P000383,L3604,2024-01-13,2024-01-23,36049,Delayed
P000384,L3460,2023-02-11,2023-02-21,29698,Delayed
P000385,L5397,2023-06-21,2023-07-11,6437,Delayed
P000386,L7521,2020-08-30,2020-09-19,28314,Delayed
P000387,L1747,2023-06-30,2023-07-10,33778,Delayed
P000388,L8185,2021-09-27,2021-09-27,37359,Paid
P000389,L0198,2021-05-23,2021-05-23,23531,Paid
P000390,L0928,2021-07-31,,47916,Missed
P000391,L6563,2020-10-07,2020-10-12,49146,Delayed
P000392,L8926,2021-11-28,,33224,Missed
P000393,L6006,2021-02-23,2021-02-23,1356,Paid
P000394,L0388,2020-06-04,2020-06-09,38965,Delayed
P000395,L1060,2023-06-02,2023-06-07,42764,Delayed
P000396,L1498,2020-10-08,2020-10-18,1594,Delayed
P000397,L1744,2021-05-05,2021-05-05,12314,Paid
P000398,L2683,2022-12-07,,47516,Missed
P000399,L1794,2023-01-26,2023-02-15,47244,Delayed
P000400,L7596,2022-02-15,2022-02-15,47453,Paid
P000401,L5557,2021-11-10,,15592,Missed
P000402,L1585,2021-02-11,2021-02-11,6150,Paid
P000403,L4377,2020-12-01,2020-12-01,25105,Paid
P000404,L2526,2021-10-31,2021-10-31,6665,Paid
P000405,L6026,2021-02-21,2021-02-21,48136,Paid
P000406,L1598,2023-12-31,2023-12-31,11878,Paid
P000407,L7857,2022-12-07,2022-12-07,14125,Paid
P000408,L3986,2020-02-18,2020-02-18,8367,Paid
P000409,L5254,2021-12-23,2022-01-02,19562,Delayed
P000410,L8081,2021-08-19,,22484,Missed
P000411,L8306,2022-06-01,2022-06-01,3973,Paid
P000412,L3837,2022-05-14,2022-05-14,7345,Paid
P000413,L8455,2022-10-23,2022-10-23,29326,Paid
P000414,L1540,2020-09-10,,30456,Missed
P000415,L3262,2020-09-25,2020-09-25,28527,Paid
P000416,L6956,2023-10-02,2023-10-02,35685,Paid
P000417,L5808,2022-02-07,2022-02-12,32446,Delayed
P000418,L6350,2021-08-02,2021-08-07,19602,Delayed
P000419,L3171,2022-05-04,2022-05-09,16511,Delayed
P000420,L2372,2020-01-16,2020-01-16,45707,Paid
P000421,L6035,2023-05-23,2023-05-23,32679,Paid
P000422,L8044,2020-07-05,2020-07-15,18649,Delayed
P000423,L4827,2023-02-27,2023-02-27,1508,Paid
P000424,L1394,2020-04-04,2020-04-04,44625,Paid
P000425,L5608,2021-05-12,2021-05-17,24251,Delayed
P000426,L8797,2022-04-07,2022-04-07,10245,Paid
P000427,L7935,2021-10-01,2021-10-11,18276,Delayed
P000428,L1725,2020-12-27,2021-01-01,29679,Delayed
P000429,L7520,2021-10-15,2021-11-04,22997,Delayed
P000430,L1759,2021-02-26,2021-02-26,39479,Paid
P000431,L7236,2022-11-01,2022-11-01,34415,Paid
P000432,L1982,2022-10-23,2022-10-28,11454,Delayed
P000433,L8890,2023-05-07,,29387,Missed
P000434,L2328,2023-02-04,2023-02-04,33948,Paid
P000435,L3371,2022-09-03,,12351,Missed
P000436,L7462,2021-02-28,,28666,Missed
P000437,L1680,2024-01-01,2024-01-21,36484,Delayed
P000438,L6778,2020-09-19,2020-09-19,5484,Paid
P000439,L6434,2020-11-05,2020-11-10,9428,Delayed
P000440,L1305,2022-03-06,,16979,Missed
P000441,L2130,2021-05-08,2021-05-08,31900,Paid
P000442,L5591,2021-10-22,,49117,Missed
P000443,L1365,2020-07-27,2020-08-16,19703,Delayed
P000444,L0525,2022-03-16,2022-03-26,17585,Delayed
P000445,L6214,2023-03-06,,45121,Missed
P000446,L0187,2020-05-07,,10416,Missed
P000447,L0178,2020-11-15,2020-11-15,32146,Paid
P000448,L2659,2021-12-19,2021-12-19,40515,Paid
P000449,L2106,2020-01-18,2020-01-18,29786,Paid
P000450,L2737,2023-11-14,2023-11-14,35662,Paid
P000451,L2491,2022-07-24,2022-07-24,36365,Paid
P000452,L5131,2022-10-08,2022-10-18,17201,Delayed
P000453,L4051,2020-09-10,2020-09-10,9029,Paid
P000454,L2262,2023-01-17,2023-02-06,38046,Delayed
P000455,L2513,2021-11-30,2021-11-30,37595,Paid
P000456,L2656,2021-03-16,,38665,Missed
P000457,L5594,2022-08-14,2022-09-03,19899,Delayed
P000458,L2009,2023-02-06,2023-02-06,44275,Paid
P000459,L0124,2023-01-02,,9875,Missed
P000460,L7673,2020-06-21,,19875,Missed
P000461,L0851,2022-09-01,2022-09-11,2630,Delayed
P000462,L2570,2023-06-18,2023-06-28,33245,Delayed
P000463,L6767,2024-01-24,2024-01-24,48071,Paid
P000464,L3165,2022-10-01,2022-10-11,39706,Delayed
P000465,L8372,2022-03-06,2022-03-26,44955,Delayed
P000466,L2338,2020-12-31,2021-01-05,8131,Delayed
P000467,L8400,2021-01-17,2021-01-17,30622,Paid
P000468,L6148,2023-10-12,2023-11-01,23712,Delayed
P000469,L0299,2022-09-10,2022-09-30,9389,Delayed
P000470,L5867,2021-02-09,2021-03-01,20443,Delayed
P000471,L7168,2023-02-28,2023-03-20,30526,Delayed
P000472,L1566,2023-06-28,2023-06-28,46699,Paid
P000473,L6929,2023-06-28,2023-07-08,25700,Delayed
P000474,L5797,2020-06-19,2020-06-24,7165,Delayed
P000475,L4976,2021-10-19,2021-10-29,18852,Delayed
P000476,L1897,2023-12-21,2023-12-21,39167,Paid
P000477,L8980,2020-04-28,2020-04-28,22446,Paid
P000478,L4223,2021-11-07,2021-11-07,28030,Paid
P000479,L4411,2020-02-13,,41050,Missed
P000480,L5702,2020-02-13,2020-02-13,10173,Paid
P000481,L5417,2023-11-30,2023-11-30,14409,Paid
P000482,L7262,2023-01-19,2023-01-19,25586,Paid
P000483,L7140,2022-05-10,2022-05-20,49438,Delayed
P000484,L2021,2022-06-15,2022-06-15,3993,Paid
P000485,L0922,2022-06-26,2022-06-26,19767,Paid
P000486,L4509,2022-01-23,2022-02-02,6624,Delayed
P000487,L0199,2022-02-08,2022-02-08,26829,Paid
