loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,approval_status,loan_start_date
L0075,C1921,Vehicle Loan,2425440,16.6,240,Approved,2022-05-11
L0076,C2635,Vehicle Loan,2338452,13.23,60,Approved,2022-01-11
L0077,C4662,Education Loan,3296983,8.81,24,Approved,2020-08-24
L0078,C0693,Vehicle Loan,469111,15.4,120,Rejected,2019-02-07
L0079,C0419,Vehicle Loan,4955649,17.8,24,Approved,2019-02-22
L0080,C5201,Education Loan,2631525,9.33,12,Approved,2020-07-10
L0081,C0711,Personal Loan,2173167,14.56,120,Approved,2020-12-11
L0082,C6216,Personal Loan,3245682,9.87,24,Rejected,2022-09-23
L0083,C0986,Education Loan,1973225,12.41,60,Approved,2021-03-13
L0084,C1950,Personal Loan,4528061,17.56,24,Approved,2019-11-25
L0085,C6242,Vehicle Loan,1216614,9.32,240,Approved,2022-12-20
L0086,C1260,Education Loan,1341382,16.59,12,Rejected,2020-10-09
L0087,C3895,Home Loan,3833200,10.1,60,Rejected,2019-04-13
L0088,C4347,Home Loan,4947927,15.12,36,Approved,2021-07-25
L0089,C2387,Vehicle Loan,3194994,12.57,120,Approved,2021-08-16
L0090,C4808,Personal Loan,1069672,14.73,24,Approved,2019-04-28
L0091,C2292,Education Loan,3260338,13.55,240,Approved,2022-02-19
L0092,C3125,Personal Loan,3062505,15.86,12,Approved,2019-05-07
L0093,C5435,Education Loan,2509815,10.64,60,Approved,2020-12-24
L0094,C5893,Home Loan,1801720,15.78,60,Approved,2022-01-18
L0095,C0485,Home Loan,499336,11.59,12,Approved,2020-08-08
L0096,C6492,Education Loan,1478504,17.79,60,Approved,2019-06-23
L0097,C5173,Personal Loan,602766,7.99,24,Approved,2022-03-31
L0098,C3983,Vehicle Loan,3295249,13.55,120,Approved,2019-03-26
L0099,C5303,Home Loan,3336884,11.34,240,Approved,2022-01-17
L0100,C5508,Vehicle Loan,4634285,14.09,12,Approved,2020-05-14
L0101,C4121,Vehicle Loan,1208531,16.51,36,Approved,2021-06-21
L0102,C4464,Education Loan,3625394,16.27,12,Approved,2020-06-23
L0103,C1898,Home Loan,4507805,9,60,Rejected,2022-05-13
L0104,C0483,Vehicle Loan,3604932,13.51,240,Rejected,2022-10-31
L0105,C0879,Education Loan,1907550,10.88,120,Approved,2021-04-10
L0106,C0782,Education Loan,2248565,10.22,240,Rejected,2020-09-26
L0107,C1081,Personal Loan,1089684,9.48,12,Approved,2020-05-14
L0108,C2173,Vehicle Loan,2794488,14.1,24,Approved,2021-07-22
L0109,C3802,Home Loan,2318718,13.62,240,Approved,2020-04-12
L0110,C0614,Education Loan,1130672,14.78,36,Rejected,2019-05-09
L0111,C6402,Personal Loan,189444,11.35,240,Approved,2022-04-27
L0112,C5724,Education Loan,303513,14.71,60,Approved,2021-12-08
L0113,C4317,Personal Loan,3692577,10.42,60,Approved,2019-11-28
L0114,C5924,Home Loan,782809,9.79,60,Approved,2020-06-18
L0115,C1086,Home Loan,4014571,13.15,12,Approved,2021-03-22
L0116,C1415,Personal Loan,3513080,14.1,240,Approved,2020-11-12
L0117,C0661,Vehicle Loan,4648997,14.27,60,Rejected,2019-07-19
L0118,C3699,Education Loan,1203023,10.68,240,Approved,2021-01-28
L0119,C5229,Personal Loan,4459997,11.69,12,Approved,2020-03-19
L0120,C0332,Vehicle Loan,567149,15.13,12,Approved,2022-08-07
L0121,C4291,Vehicle Loan,3823377,14.47,12,Approved,2020-02-08
L0122,C3599,Education Loan,2133669,15.06,240,Rejected,2021-12-10
L0123,C4346,Vehicle Loan,3676801,13.42,60,Approved,2019-03-25
L0124,C6010,Personal Loan,3159105,13.03,60,Approved,2019-09-10
L0125,C4508,Personal Loan,4784759,14.69,120,Approved,2019-04-15
L0126,C2385,Education Loan,4526289,13.62,36,Approved,2021-11-02
L0127,C1817,Education Loan,4084099,13.93,12,Rejected,2019-06-29
L0128,C2516,Personal Loan,1500109,11.84,60,Approved,2021-01-11
L0129,C5762,Home Loan,596291,7.69,36,Approved,2021-11-09
L0130,C1430,Vehicle Loan,4032556,8.55,12,Approved,2019-05-13
L0131,C2001,Vehicle Loan,4978477,9.62,60,Approved,2023-01-29
L0132,C0694,Personal Loan,4306284,7.86,120,Approved,2020-08-09
L0133,C0595,Personal Loan,1890151,16.34,12,Approved,2022-05-26
L0134,C5093,Personal Loan,1642826,11.07,60,Approved,2020-04-06
L0135,C1527,Education Loan,3085931,9.06,240,Approved,2019-05-26
L0136,C3022,Education Loan,1458525,16.2,240,Approved,2023-01-03
L0137,C4099,Home Loan,4105393,10.32,24,Approved,2019-03-08
L0138,C0666,Home Loan,1250903,9.76,240,Approved,2019-09-26
L0139,C3593,Vehicle Loan,3958180,10.68,12,Approved,2020-11-17
L0140,C3299,Vehicle Loan,662425,15.14,36,Approved,2022-03-16
L0141,C2276,Vehicle Loan,58101,14.68,12,Approved,2021-05-07
L0142,C3440,Vehicle Loan,101019,10.78,240,Approved,2020-03-24
L0143,C6632,Home Loan,3928850,12.69,12,Approved,2021-12-15
L0144,C3574,Education Loan,408319,14.57,24,Approved,2022-11-11
L0145,C0914,Home Loan,1955696,10.99,120,Approved,2019-10-29
L0146,C3636,Education Loan,441101,15.09,12,Approved,2023-01-16
L0147,C1854,Personal Loan,4398105,16.19,36,Approved,2019-05-27
L0148,C1765,Education Loan,1232554,14.49,12,Approved,2019-02-19
L0149,C2248,Education Loan,2978160,9.82,12,Approved,2023-01-21
L0150,C6460,Personal Loan,1361593,16.45,120,Approved,2019-08-05
L0151,C3440,Personal Loan,4231641,14.87,12,Approved,2020-02-16
L0152,C5996,Education Loan,3468100,15.5,36,Approved,2021-09-19
L0153,C3498,Vehicle Loan,2043599,8.05,12,Approved,2020-04-12
L0154,C5284,Personal Loan,847634,16.6,24,Approved,2022-03-08
L0155,C0773,Education Loan,1502184,9.9,12,Approved,2019-05-16
L0156,C4034,Vehicle Loan,1147942,13.08,12,Approved,2023-01-19
L0157,C0447,Home Loan,752415,17.33,36,Approved,2021-02-09
L0158,C4392,Vehicle Loan,1266270,12.47,24,Approved,2020-11-21
L0159,C5863,Home Loan,4068166,8.92,12,Approved,2022-08-02
L0160,C3563,Home Loan,155684,16.67,12,Approved,2022-09-21
L0161,C0814,Home Loan,3210044,11.02,240,Approved,2022-02-26
L0162,C4028,Personal Loan,4961769,12.96,12,Rejected,2022-03-21
L0163,C5885,Education Loan,4059995,8.45,24,Approved,2022-09-06
L0164,C4323,Home Loan,1852912,8.18,36,Approved,2020-07-21
L0165,C2320,Vehicle Loan,1188173,8.14,120,Approved,2020-10-04
L0166,C5749,Education Loan,851922,12.48,240,Approved,2020-12-02
L0167,C0362,Personal Loan,2144713,16.54,60,Approved,2019-03-05
L0168,C6881,Vehicle Loan,413054,17.37,240,Approved,2020-12-12
L0169,C4643,Education Loan,2843948,10.06,60,Approved,2023-01-10
L0170,C1863,Education Loan,4832066,10.34,24,Rejected,2021-09-24
L0171,C0193,Personal Loan,192306,9.57,120,Rejected,2019-05-09
L0172,C2093,Vehicle Loan,338488,12.82,60,Rejected,2023-02-05
L0173,C3353,Vehicle Loan,1538501,12.33,120,Approved,2022-07-02
L0174,C5169,Vehicle Loan,1873124,7.93,36,Rejected,2021-07-05
L0175,C6994,Home Loan,1560669,15.13,24,Approved,2022-04-17
L0176,C5242,Vehicle Loan,2615241,9.66,24,Rejected,2022-11-03
L0177,C4833,Home Loan,4263823,13.54,120,Rejected,2020-07-14
L0178,C1373,Home Loan,2485512,17.86,24,Approved,2019-03-12
L0179,C5470,Vehicle Loan,1262001,9.24,240,Approved,2019-09-23
L0180,C1285,Vehicle Loan,4719033,16.83,240,Approved,2020-12-16
L0181,C5401,Vehicle Loan,2582755,13.23,24,Approved,2021-12-01
L0182,C1835,Home Loan,4362009,13.48,24,Approved,2021-07-25
L0183,C2760,Home Loan,779298,8.33,240,Approved,2021-02-09
L0184,C6809,Home Loan,4161055,11.33,240,Approved,2020-11-27
L0185,C4287,Education Loan,3118049,13.03,240,Approved,2019-02-10
L0186,C6877,Personal Loan,1362349,8.89,120,Approved,2022-07-05
L0187,C5884,Home Loan,1522203,9.49,240,Approved,2022-12-05
L0188,C5266,Education Loan,345035,9.67,60,Approved,2019-12-24
L0189,C3310,Home Loan,1638386,12.78,60,Rejected,2019-03-28
L0190,C3983,Education Loan,4751352,16.58,60,Approved,2021-01-30
L0191,C2765,Vehicle Loan,3301840,8.04,240,Approved,2020-10-03
L0192,C5409,Home Loan,3981848,17.4,60,Approved,2020-05-07
L0193,C6956,Education Loan,1210358,16.44,24,Approved,2021-05-10
L0194,C2060,Personal Loan,57176,10.74,12,Approved,2021-12-20
L0195,C2034,Vehicle Loan,2578065,17.61,240,Approved,2021-08-04
L0196,C4296,Personal Loan,4976675,14.56,36,Approved,2021-04-01
L0197,C1179,Personal Loan,619962,14.64,24,Rejected,2021-11-19
L0198,C1479,Personal Loan,3893494,17.11,12,Approved,2021-06-12
L0199,C2898,Personal Loan,2617075,15.76,240,Approved,2021-06-17
L0200,C2465,Vehicle Loan,2987303,17.71,36,Approved,2021-12-17
L0201,C2459,Home Loan,3683884,12.26,60,Approved,2021-07-08
L0202,C4775,Education Loan,965748,7.8,240,Approved,2019-04-24
L0203,C3592,Home Loan,910794,17.52,12,Approved,2023-01-09
L0204,C4171,Personal Loan,4578239,17.8,120,Approved,2022-07-08
L0205,C0116,Home Loan,3989721,15.67,24,Approved,2021-08-19
L0206,C3040,Home Loan,782020,14.12,60,Approved,2020-12-31
L0207,C3054,Home Loan,777996,8.68,60,Rejected,2020-06-01
L0208,C3487,Vehicle Loan,3546388,14.48,240,Approved,2020-01-21
L0209,C3077,Personal Loan,2979526,12.53,60,Approved,2019-03-04
L0210,C3064,Vehicle Loan,1551285,7.54,12,Rejected,2019-02-20
L0211,C0728,Education Loan,3875759,13.52,120,Rejected,2020-04-09
L0212,C6205,Vehicle Loan,4308927,16.02,24,Approved,2019-02-03
L0213,C2558,Vehicle Loan,1965279,14.88,24,Approved,2021-05-03
L0214,C0336,Personal Loan,599324,17.4,12,Approved,2019-08-30
L0215,C1364,Personal Loan,3989412,17.38,240,Approved,2019-10-10
L0216,C0951,Vehicle Loan,506261,15.72,12,Approved,2019-09-02
L0217,C5242,Education Loan,4640368,13.36,60,Approved,2022-03-11
L0218,C5169,Vehicle Loan,71380,16.29,60,Approved,2019-05-12
L0219,C3588,Personal Loan,1074955,14.67,120,Approved,2019-05-26
L0220,C1780,Home Loan,1014269,12.53,60,Approved,2022-07-29
L0221,C4147,Personal Loan,1395531,8.98,60,Approved,2022-10-06
L0222,C5945,Vehicle Loan,535129,8.66,120,Rejected,2019-02-24
L0223,C0590,Vehicle Loan,3741263,7.79,24,Rejected,2021-04-06
L0224,C3815,Education Loan,2224656,9.16,60,Rejected,2019-11-11
L0225,C2467,Personal Loan,1744768,10.03,240,Approved,2019-07-06
L0226,C4231,Vehicle Loan,1991179,7.68,12,Approved,2019-02-10
L0227,C5992,Home Loan,1833246,15.62,36,Approved,2021-11-23
L0228,C4753,Education Loan,3623132,14.16,240,Approved,2020-08-07
L0229,C1338,Personal Loan,4074536,12.6,36,Approved,2022-08-02
L0230,C5512,Education Loan,1950708,17.18,36,Approved,2021-02-20
L0231,C6105,Home Loan,1837463,12.11,36,Approved,2019-04-05
L0232,C4132,Personal Loan,3371851,11.06,12,Approved,2020-09-24
L0233,C5988,Vehicle Loan,2557926,16.53,60,Approved,2021-03-11
L0234,C3346,Home Loan,3250854,17.99,12,Approved,2020-11-03
L0235,C4696,Education Loan,3557792,9.04,240,Rejected,2022-12-11
L0236,C5090,Home Loan,4186058,11.78,36,Approved,2022-12-30
L0237,C6906,Education Loan,4865497,11.05,36,Approved,2021-09-17
L0238,C0354,Personal Loan,3140477,12.66,60,Rejected,2022-10-31
L0239,C6885,Vehicle Loan,3861234,16.5,60,Approved,2020-05-07
L0240,C6211,Home Loan,3349455,17.78,240,Approved,2022-04-17
L0241,C2771,Personal Loan,3954759,12.65,240,Approved,2022-10-13
L0242,C5596,Home Loan,885367,8.74,240,Approved,2020-03-06
L0243,C3215,Home Loan,1122845,12.5,240,Approved,2020-07-21
L0244,C2803,Vehicle Loan,3833687,15.89,24,Approved,2022-07-19
L0245,C3763,Personal Loan,4723322,12.29,36,Approved,2019-09-20
L0246,C0496,Personal Loan,2935030,10.87,240,Approved,2020-04-03
L0247,C5102,Education Loan,520933,14.4,36,Approved,2022-08-01
L0248,C6894,Personal Loan,3087749,15.29,60,Approved,2019-09-17
L0249,C5674,Education Loan,926198,7.79,60,Approved,2022-05-01
L0250,C6584,Personal Loan,2873689,17.39,60,Approved,2022-06-30
L0251,C2782,Personal Loan,1138634,11.67,240,Approved,2020-02-09
L0252,C6014,Personal Loan,3005426,12.4,120,Approved,2022-05-31
L0253,C6493,Home Loan,3223923,11.14,24,Approved,2021-10-29
L0254,C4783,Home Loan,2363484,17.23,36,Approved,2021-05-08
L0255,C6870,Personal Loan,677778,16.97,240,Rejected,2022-06-07
L0256,C6575,Home Loan,2252162,16.36,120,Rejected,2021-07-20
L0257,C1222,Vehicle Loan,3012984,10.75,120,Approved,2021-03-18
L0258,C3039,Vehicle Loan,2706700,11.46,36,Approved,2020-11-30
L0259,C6758,Education Loan,657172,16.45,12,Approved,2022-12-16
L0260,C2493,Home Loan,3996747,9.18,120,Approved,2022-04-12
L0261,C6419,Home Loan,3257234,14.84,120,Approved,2020-03-26
L0262,C2362,Education Loan,2010314,10.42,240,Approved,2022-12-09
L0263,C2506,Education Loan,4123459,13.23,24,Rejected,2020-11-10
L0264,C0772,Vehicle Loan,4685815,10.07,24,Approved,2019-04-09
L0265,C4362,Personal Loan,1693363,17.09,12,Approved,2019-10-06
L0266,C6917,Education Loan,2688911,15.61,36,Approved,2022-01-04
L0267,C0462,Personal Loan,2583032,12.89,120,Approved,2019-03-21
L0268,C0120,Education Loan,4216680,9.62,36,Approved,2022-11-21
L0269,C5592,Personal Loan,4500593,7.56,24,Approved,2023-02-05
L0270,C5315,Vehicle Loan,4914686,15.12,60,Rejected,2021-02-16
L0271,C4011,Vehicle Loan,2491017,11.88,60,Approved,2019-02-12
L0272,C1174,Vehicle Loan,2475866,10.72,120,Approved,2022-04-11
L0273,C3406,Personal Loan,1827590,7.77,12,Approved,2019-07-07
L0274,C6333,Education Loan,3223468,16.89,60,Approved,2022-06-26
L0275,C5756,Personal Loan,3366711,9.04,120,Rejected,2021-03-28
L0276,C1672,Vehicle Loan,2250024,16.13,12,Approved,2019-09-15
L0277,C1433,Vehicle Loan,4807444,10.59,36,Approved,2021-10-01
L0278,C0501,Vehicle Loan,2520819,8.32,240,Approved,2019-11-28
L0279,C5120,Home Loan,3816274,17.93,36,Approved,2020-07-31
L0280,C4570,Home Loan,3264433,15.3,12,Approved,2021-11-30
L0281,C2126,Home Loan,898843,11.87,60,Approved,2021-09-24
L0282,C0800,Vehicle Loan,990877,11.02,120,Approved,2022-12-23
L0283,C6582,Vehicle Loan,871614,17.86,36,Approved,2020-11-01
L0284,C5517,Home Loan,3177935,10.51,36,Approved,2020-07-20
L0285,C3956,Vehicle Loan,2786454,14.38,120,Approved,2021-07-25
L0286,C5716,Home Loan,3604807,10.98,12,Approved,2019-02-07
L0287,C0771,Home Loan,404445,16.51,36,Rejected,2021-07-04
L0288,C4505,Education Loan,1628034,11.36,120,Approved,2020-08-31
L0289,C4484,Personal Loan,2144792,13.98,12,Approved,2023-01-27
L0290,C2038,Home Loan,1922751,17.61,24,Approved,2021-08-02
L0291,C5751,Home Loan,1650123,10.94,36,Rejected,2019-10-27
L0292,C3381,Home Loan,308538,9.61,60,Approved,2020-06-04
L0293,C3628,Vehicle Loan,4230309,15.34,120,Approved,2020-07-23
L0294,C4022,Vehicle Loan,4242269,17.54,24,Approved,2019-07-14
L0295,C1197,Personal Loan,3498499,16.54,12,Approved,2021-07-25
L0296,C6579,Education Loan,3599459,9.46,120,Approved,2022-09-05
L0297,C2166,Personal Loan,3911295,10.19,36,Approved,2023-01-08
L0298,C5828,Personal Loan,2743583,15.56,120,Approved,2019-09-14
L0299,C0532,Personal Loan,3161786,13.93,36,Approved,2021-06-04
L0300,C0610,Vehicle Loan,1325629,16.54,24,Rejected,2022-03-29
L0301,C2170,Home Loan,4290363,16.06,60,Approved,2020-08-25
L0302,C4513,Home Loan,1153934,13.02,36,Approved,2022-01-09
L0303,C6922,Vehicle Loan,569399,17.2,36,Approved,2022-10-28
L0304,C6125,Vehicle Loan,3841014,10,12,Approved,2019-06-21
L0305,C3543,Vehicle Loan,2342983,11.96,240,Approved,2021-09-28
L0306,C6064,Personal Loan,1578881,7.99,36,Approved,2019-12-06
L0307,C0402,Personal Loan,602069,13.8,24,Approved,2021-12-30
L0308,C6534,Home Loan,1275629,9.81,12,Approved,2019-08-03
L0309,C4776,Personal Loan,1850236,11.05,12,Approved,2020-09-19
L0310,C2634,Personal Loan,2016825,17.58,12,Rejected,2022-11-27
L0311,C1137,Personal Loan,4814474,12.87,60,Approved,2022-07-11
L0312,C0890,Personal Loan,1697031,13.42,12,Approved,2022-10-18
L0313,C0211,Education Loan,188239,11.39,240,Approved,2021-08-18
L0314,C2299,Home Loan,352383,16.23,24,Approved,2019-03-15
L0315,C4768,Home Loan,4723334,16.33,12,Approved,2020-02-13
L0316,C1530,Vehicle Loan,2061637,12.63,36,Approved,2022-11-02
L0317,C3368,Home Loan,2039236,14.22,12,Approved,2020-11-11
L0318,C6199,Vehicle Loan,1398117,12.1,12,Rejected,2021-04-12
L0319,C2241,Education Loan,3097670,17.93,12,Approved,2019-01-13
L0320,C3108,Personal Loan,4469368,16.73,12,Approved,2021-01-24
L0321,C4527,Education Loan,2269450,10.08,240,Approved,2021-10-24
L0322,C3900,Personal Loan,2887922,13.57,12,Approved,2019-02-27
L0323,C6388,Personal Loan,1334287,13.3,36,Approved,2020-08-08
L0324,C0810,Education Loan,4888670,17.84,24,Approved,2019-08-15
L0325,C1674,Vehicle Loan,1723064,15.46,36,Approved,2021-02-16
L0326,C0988,Personal Loan,2003306,11.25,12,Rejected,2021-01-18
L0327,C6756,Education Loan,3029247,15.23,24,Approved,2019-10-07
L0328,C4784,Vehicle Loan,4720314,9.25,120,Approved,2020-09-22
L0329,C0758,Home Loan,3956840,12.37,60,Rejected,2021-08-03
L0330,C1146,Home Loan,2698987,14.16,60,Approved,2020-08-02
L0331,C0950,Education Loan,2996000,17.26,24,Approved,2021-07-14
L0332,C4969,Vehicle Loan,2744269,10.28,36,Approved,2020-10-28
L0333,C5657,Personal Loan,2308680,15.55,12,Approved,2020-08-08
L0334,C5912,Home Loan,101605,11.66,60,Approved,2022-08-28
L0335,C4561,Education Loan,987925,13.91,36,Rejected,2021-07-21
L0336,C5969,Education Loan,187900,13.02,24,Approved,2022-02-02
L0337,C0731,Education Loan,3665234,12.2,36,Approved,2022-07-23
L0338,C6911,Education Loan,4173577,15.91,120,Rejected,2020-10-11
L0339,C2407,Personal Loan,3720431,7.9,12,Approved,2021-12-16
L0340,C0063,Home Loan,1066788,15.28,120,Approved,2021-03-13
L0341,C1687,Education Loan,320845,9.43,12,Approved,2021-06-09
L0342,C1711,Education Loan,2139039,10.96,36,Approved,2020-02-15
L0343,C0996,Vehicle Loan,767852,10.89,24,Approved,2019-05-03
L0344,C0233,Education Loan,3878628,16.02,120,Rejected,2022-08-03
L0345,C4916,Education Loan,335279,16.65,24,Approved,2021-01-29
L0346,C3982,Vehicle Loan,2513114,8.76,24,Approved,2021-11-29
L0347,C6758,Personal Loan,2012399,14.36,60,Approved,2021-12-28
L0348,C6901,Personal Loan,4836413,15.14,60,Approved,2021-03-06
L0349,C4949,Home Loan,3792402,8.32,12,Rejected,2019-12-26
L0350,C5445,Home Loan,191749,9.51,24,Approved,2020-06-15
L0351,C5146,Personal Loan,2034015,16.17,36,Rejected,2019-11-25
L0352,C6430,Vehicle Loan,4159319,9.88,240,Approved,2022-12-10
L0353,C1280,Personal Loan,4807125,15.95,12,Approved,2023-01-06
L0354,C1248,Vehicle Loan,3145215,9.21,240,Approved,2021-03-01
L0355,C0921,Personal Loan,466152,11.85,240,Approved,2019-03-02
L0356,C4788,Vehicle Loan,2022152,9.83,36,Approved,2022-07-13
L0357,C3621,Personal Loan,4959841,11.47,12,Approved,2020-06-27
L0358,C4842,Education Loan,613265,17.03,120,Approved,2022-10-27
L0359,C1753,Vehicle Loan,2962835,16.42,12,Approved,2022-07-24
L0360,C2775,Education Loan,2916318,16.55,24,Approved,2023-01-12
L0361,C4687,Personal Loan,2726222,7.99,240,Approved,2020-12-22
L0362,C6391,Vehicle Loan,462291,14.83,24,Approved,2021-01-10
L0363,C5493,Home Loan,4564966,17.22,240,Approved,2019-06-13
L0364,C3803,Personal Loan,2973570,7.86,60,Approved,2019-04-02
L0365,C6013,Vehicle Loan,3335061,7.73,60,Approved,2019-12-13
L0366,C0463,Personal Loan,2389687,8.47,240,Approved,2019-02-12
L0367,C2353,Personal Loan,3430033,11.57,60,Approved,2020-08-30
L0368,C0738,Education Loan,1850025,13.3,60,Approved,2021-04-24
L0369,C6687,Vehicle Loan,3882627,16.25,36,Approved,2023-01-24
L0370,C5170,Personal Loan,2586928,9.57,120,Approved,2019-06-26
L0371,C1038,Personal Loan,2050613,15.76,36,Approved,2020-03-24
L0372,C2693,Home Loan,1238926,15.49,24,Approved,2020-02-10
L0373,C5748,Personal Loan,1541570,16.21,36,Approved,2022-06-18
L0374,C4549,Home Loan,3933448,17.75,60,Approved,2019-05-09
L0375,C2858,Home Loan,3913931,17.09,120,Approved,2021-10-30
L0376,C6534,Education Loan,1618019,13.2,240,Approved,2022-03-24
L0377,C0233,Home Loan,3773617,11.86,24,Approved,2019-05-04
L0378,C1419,Education Loan,3414163,8.49,24,Approved,2022-11-24
L0379,C3050,Home Loan,4006166,14.41,12,Approved,2022-01-14
L0380,C4736,Education Loan,3708941,14.73,36,Approved,2020-04-12
L0381,C1093,Vehicle Loan,1706829,8.48,36,Approved,2021-04-20
L0382,C4917,Education Loan,895546,11.29,120,Approved,2019-11-16
L0383,C0512,Home Loan,1262231,12.99,12,Approved,2021-09-25
L0384,C6291,Home Loan,834538,9.68,36,Approved,2022-11-12
L0385,C2573,Vehicle Loan,2863123,17.45,36,Approved,2020-10-04
L0386,C6516,Education Loan,1755816,9,36,Approved,2020-02-23
