customer_id,credit_score,risk_category,score_date
C0276,854,Very Low Risk,2023-08-05
C0277,547,High Risk,2023-12-12
C0278,329,High Risk,2023-12-31
C0279,471,High Risk,2023-02-19
C0280,613,Medium Risk,2023-03-03
C0281,816,Very Low Risk,2023-09-20
C0282,780,Very Low Risk,2023-04-13
C0283,679,Low Risk,2023-06-12
C0284,613,Medium Risk,2023-09-12
C0285,626,Medium Risk,2023-11-05
C0286,873,Very Low Risk,2023-07-15
C0287,786,Very Low Risk,2023-01-16
C0288,483,High Risk,2023-10-24
C0289,320,High Risk,2023-05-09
C0290,887,Very Low Risk,2023-11-03
C0291,575,Medium Risk,2023-01-13
C0292,726,Low Risk,2023-02-27
C0293,517,High Risk,2023-08-10
C0294,457,High Risk,2023-03-15
C0295,315,High Risk,2023-05-05
C0296,613,Medium Risk,2023-12-13
C0297,703,Low Risk,2023-09-27
C0298,887,Very Low Risk,2023-03-08
C0299,816,Very Low Risk,2023-10-08
C0300,474,High Risk,2023-04-03
C0301,743,Low Risk,2023-05-03
C0302,553,Medium Risk,2023-12-10
C0303,701,Low Risk,2023-08-30
C0304,673,Low Risk,2023-03-11
C0305,520,High Risk,2023-11-14
C0306,501,High Risk,2023-04-15
C0307,617,Medium Risk,2023-06-24
C0308,778,Very Low Risk,2023-10-30
C0309,848,Very Low Risk,2023-01-28
C0310,662,Low Risk,2023-12-21
C0311,747,Low Risk,2023-09-15
C0312,679,Low Risk,2023-05-10
C0313,313,High Risk,2023-07-29
C0314,720,Low Risk,2023-10-25
C0315,309,High Risk,2023-08-17
C0316,447,High Risk,2023-09-10
C0317,810,Very Low Risk,2023-06-03
C0318,715,Low Risk,2023-09-08
C0319,880,Very Low Risk,2023-05-15
C0320,379,High Risk,2023-08-17
C0321,638,Medium Risk,2023-10-29
C0322,739,Low Risk,2023-11-04
C0323,405,High Risk,2023-11-02
C0324,455,High Risk,2023-12-13
C0325,417,High Risk,2023-08-06
C0326,344,High Risk,2023-02-16
C0327,319,High Risk,2023-06-16
C0328,611,Medium Risk,2023-11-13
C0329,327,High Risk,2023-04-17
C0330,537,High Risk,2023-10-19
C0331,793,Very Low Risk,2023-04-03
C0332,898,Very Low Risk,2023-02-24
C0333,841,Very Low Risk,2023-05-13
C0334,435,High Risk,2023-06-28
C0335,332,High Risk,2023-09-14
C0336,726,Low Risk,2023-06-24
C0337,463,High Risk,2023-07-11
C0338,812,Very Low Risk,2023-05-22
C0339,673,Low Risk,2023-01-14
C0340,518,High Risk,2023-11-17
C0341,615,Medium Risk,2023-05-28
C0342,622,Medium Risk,2023-12-21
C0343,881,Very Low Risk,2023-06-10
C0344,367,High Risk,2023-04-26
C0345,543,High Risk,2023-06-25
C0346,743,Low Risk,2023-08-13
C0347,886,Very Low Risk,2023-12-28
C0348,527,High Risk,2023-12-27
C0349,524,High Risk,2023-12-28
C0350,595,Medium Risk,2023-10-21
C0351,326,High Risk,2023-11-18
C0352,744,Low Risk,2023-08-09
C0353,739,Low Risk,2023-10-19
C0354,591,Medium Risk,2023-07-12
C0355,856,Very Low Risk,2023-07-13
C0356,622,Medium Risk,2023-11-29
C0357,796,Very Low Risk,2023-12-25
C0358,491,High Risk,2023-05-25
C0359,887,Very Low Risk,2023-05-01
C0360,433,High Risk,2023-08-01
C0361,383,High Risk,2023-01-13
C0362,585,Medium Risk,2023-01-11
C0363,797,Very Low Risk,2023-11-19
C0364,591,Medium Risk,2023-09-14
C0365,832,Very Low Risk,2023-09-26
C0366,381,High Risk,2023-06-02
C0367,740,Low Risk,2023-08-28
C0368,587,Medium Risk,2023-11-19
C0369,817,Very Low Risk,2023-08-29
C0370,640,Medium Risk,2023-04-20
C0371,506,High Risk,2023-08-14
C0372,686,Low Risk,2023-01-12
C0373,741,Low Risk,2023-03-22
C0374,813,Very Low Risk,2023-07-07
C0375,709,Low Risk,2023-05-05
C0376,828,Very Low Risk,2023-04-28
C0377,633,Medium Risk,2023-03-24
C0378,528,High Risk,2023-12-18
C0379,477,High Risk,2023-12-07
C0380,384,High Risk,2023-05-29
C0381,360,High Risk,2023-05-26
C0382,422,High Risk,2023-10-01
C0383,577,Medium Risk,2023-01-23
C0384,878,Very Low Risk,2023-10-28
C0385,768,Very Low Risk,2023-08-27
C0386,437,High Risk,2023-01-27
C0387,472,High Risk,2023-05-29
C0388,412,High Risk,2023-12-11
C0389,776,Very Low Risk,2023-06-15
C0390,640,Medium Risk,2023-08-10
C0391,494,High Risk,2023-03-16
C0392,725,Low Risk,2023-01-12
C0393,873,Very Low Risk,2023-01-24
C0394,503,High Risk,2023-06-26
C0395,632,Medium Risk,2023-02-27
C0396,634,Medium Risk,2023-11-01
C0397,343,High Risk,2023-10-15
C0398,791,Very Low Risk,2023-07-27
C0399,673,Low Risk,2023-03-01
C0400,410,High Risk,2023-02-17
C0401,584,Medium Risk,2023-07-23
C0402,898,Very Low Risk,2023-11-12
C0403,741,Low Risk,2023-02-05
C0404,670,Low Risk,2023-10-18
C0405,331,High Risk,2023-12-02
C0406,425,High Risk,2023-02-19
C0407,659,Low Risk,2023-06-26
C0408,470,High Risk,2023-05-24
C0409,572,Medium Risk,2023-11-16
C0410,780,Very Low Risk,2023-09-07
C0411,366,High Risk,2023-06-29
C0412,533,High Risk,2023-09-14
C0413,864,Very Low Risk,2023-09-07
C0414,580,Medium Risk,2023-09-30
C0415,742,Low Risk,2023-03-12
C0416,673,Low Risk,2023-08-15
C0417,622,Medium Risk,2023-03-07
C0418,727,Low Risk,2023-10-01
C0419,835,Very Low Risk,2023-09-12
C0420,775,Very Low Risk,2023-08-27
C0421,610,Medium Risk,2023-04-17
C0422,580,Medium Risk,2023-04-14
C0423,673,Low Risk,2023-03-03
C0424,472,High Risk,2023-04-16
C0425,591,Medium Risk,2023-12-30
C0426,547,High Risk,2023-05-08
C0427,561,Medium Risk,2023-10-14
C0428,861,Very Low Risk,2023-06-18
C0429,809,Very Low Risk,2023-10-19
C0430,529,High Risk,2023-01-12
C0431,767,Very Low Risk,2023-04-11
C0432,472,High Risk,2023-06-28
C0433,641,Medium Risk,2023-07-24
C0434,406,High Risk,2023-03-06
C0435,409,High Risk,2023-08-03
C0436,563,Medium Risk,2023-08-31
C0437,620,Medium Risk,2023-12-06
C0438,318,High Risk,2023-03-28
C0439,781,Very Low Risk,2023-01-26
C0440,383,High Risk,2023-05-29
C0441,666,Low Risk,2023-05-30
C0442,894,Very Low Risk,2023-08-04
C0443,371,High Risk,2023-05-26
C0444,619,Medium Risk,2023-07-29
C0445,628,Medium Risk,2023-06-30
C0446,765,Very Low Risk,2023-07-13
C0447,723,Low Risk,2023-08-17
C0448,584,Medium Risk,2023-03-26
C0449,843,Very Low Risk,2023-11-11
C0450,512,High Risk,2023-04-02
C0451,502,High Risk,2023-05-18
C0452,860,Very Low Risk,2023-02-14
C0453,347,High Risk,2023-05-30
C0454,540,High Risk,2023-12-07
C0455,753,Very Low Risk,2023-07-17
C0456,622,Medium Risk,2023-05-12
C0457,411,High Risk,2023-10-15
C0458,325,High Risk,2023-04-19
C0459,579,Medium Risk,2023-02-23
C0460,455,High Risk,2023-01-07
C0461,879,Very Low Risk,2023-11-11
C0462,805,Very Low Risk,2023-05-04
C0463,416,High Risk,2023-01-24
C0464,376,High Risk,2023-07-21
C0465,464,High Risk,2023-07-02
C0466,575,Medium Risk,2023-01-10
C0467,375,High Risk,2023-07-20
C0468,427,High Risk,2023-12-07
C0469,558,Medium Risk,2023-01-07
C0470,721,Low Risk,2023-05-24
C0471,535,High Risk,2023-11-26
C0472,634,Medium Risk,2023-12-27
C0473,775,Very Low Risk,2023-09-01
C0474,344,High Risk,2023-04-14
C0475,616,Medium Risk,2023-12-29
C0476,783,Very Low Risk,2023-01-10
C0477,370,High Risk,2023-10-09
C0478,762,Very Low Risk,2023-01-22
C0479,888,Very Low Risk,2023-01-08
C0480,819,Very Low Risk,2023-09-17
C0481,518,High Risk,2023-08-26
C0482,562,Medium Risk,2023-08-11
C0483,623,Medium Risk,2023-11-25
C0484,426,High Risk,2023-02-19
C0485,561,Medium Risk,2023-09-16
C0486,728,Low Risk,2023-03-20
C0487,604,Medium Risk,2023-01-19
C0488,496,High Risk,2023-04-30
C0489,610,Medium Risk,2023-06-25
C0490,720,Low Risk,2023-09-21
C0491,368,High Risk,2023-07-18
C0492,660,Low Risk,2023-12-25
C0493,661,Low Risk,2023-05-08
C0494,761,Very Low Risk,2023-02-27
C0495,686,Low Risk,2023-05-01
C0496,360,High Risk,2023-07-17
C0497,380,High Risk,2023-04-19
C0498,611,Medium Risk,2023-07-07
C0499,854,Very Low Risk,2023-05-07
C0500,720,Low Risk,2023-07-30
C0501,891,Very Low Risk,2023-01-13
C0502,549,High Risk,2023-04-17
C0503,743,Low Risk,2023-10-31
C0504,313,High Risk,2023-10-02
C0505,352,High Risk,2023-08-24
C0506,397,High Risk,2023-08-12
C0507,484,High Risk,2023-04-05
C0508,877,Very Low Risk,2023-02-07
C0509,552,Medium Risk,2023-01-20
C0510,591,Medium Risk,2023-06-12
C0511,726,Low Risk,2023-08-21
C0512,321,High Risk,2023-06-24
C0513,547,High Risk,2023-12-31
C0514,663,Low Risk,2023-09-03
C0515,819,Very Low Risk,2023-07-15
C0516,329,High Risk,2023-09-27
C0517,489,High Risk,2023-02-25
C0518,678,Low Risk,2023-07-11
C0519,802,Very Low Risk,2023-04-04
C0520,835,Very Low Risk,2023-06-04
C0521,724,Low Risk,2023-10-17
C0522,471,High Risk,2023-07-10
C0523,506,High Risk,2023-03-12
C0524,784,Very Low Risk,2023-12-01
C0525,746,Low Risk,2023-04-10
C0526,809,Very Low Risk,2023-03-25
C0527,760,Very Low Risk,2023-12-20
C0528,471,High Risk,2023-07-09
C0529,307,High Risk,2023-01-02
C0530,433,High Risk,2023-12-06
C0531,784,Very Low Risk,2024-01-01
C0532,644,Medium Risk,2023-10-29
C0533,347,High Risk,2023-05-23
C0534,612,Medium Risk,2023-01-21
C0535,709,Low Risk,2023-06-20
C0536,345,High Risk,2023-02-27
C0537,464,High Risk,2023-02-02
C0538,673,Low Risk,2023-11-05
C0539,738,Low Risk,2023-07-09
C0540,897,Very Low Risk,2023-03-13
C0541,445,High Risk,2023-12-23
C0542,599,Medium Risk,2023-06-26
C0543,898,Very Low Risk,2023-08-06
C0544,432,High Risk,2023-08-22
C0545,762,Very Low Risk,2023-12-05
C0546,839,Very Low Risk,2023-07-14
C0547,818,Very Low Risk,2023-04-15
C0548,300,High Risk,2023-01-16
C0549,530,High Risk,2023-01-06
C0550,572,Medium Risk,2023-06-13
C0551,748,Low Risk,2023-12-22
C0552,575,Medium Risk,2023-03-15
C0553,829,Very Low Risk,2023-03-20
C0554,487,High Risk,2023-06-05
C0555,888,Very Low Risk,2023-06-21
C0556,865,Very Low Risk,2023-02-10
C0557,562,Medium Risk,2023-08-24
C0558,765,Very Low Risk,2023-08-05
C0559,848,Very Low Risk,2023-06-25
C0560,500,High Risk,2023-05-11
C0561,813,Very Low Risk,2023-01-31
C0562,370,High Risk,2023-09-22
C0563,812,Very Low Risk,2023-02-05
C0564,546,High Risk,2023-06-10
C0565,568,Medium Risk,2023-03-24
C0566,608,Medium Risk,2023-03-11
C0567,609,Medium Risk,2023-06-26
C0568,632,Medium Risk,2023-06-14
C0569,327,High Risk,2023-03-30
C0570,365,High Risk,2023-04-30
C0571,641,Medium Risk,2023-01-02
C0572,645,Medium Risk,2023-12-19
C0573,825,Very Low Risk,2023-10-05
C0574,540,High Risk,2023-08-02
C0575,375,High Risk,2023-02-04
C0576,844,Very Low Risk,2023-09-03
C0577,510,High Risk,2023-06-14
C0578,742,Low Risk,2023-08-09
C0579,609,Medium Risk,2023-02-15
C0580,843,Very Low Risk,2023-06-17
C0581,881,Very Low Risk,2023-09-24
C0582,793,Very Low Risk,2023-12-10
C0583,666,Low Risk,2023-07-14
C0584,475,High Risk,2023-03-17
C0585,670,Low Risk,2023-05-01
C0586,751,Very Low Risk,2023-07-25
C0587,721,Low Risk,2023-10-28
C0588,882,Very Low Risk,2023-12-10
C0589,497,High Risk,2023-01-25
C0590,874,Very Low Risk,2023-06-18
C0591,333,High Risk,2023-05-22
C0592,681,Low Risk,2023-02-04
C0593,340,High Risk,2023-09-21
C0594,873,Very Low Risk,2023-11-05
C0595,567,Medium Risk,2023-07-14
C0596,503,High Risk,2023-07-12
C0597,533,High Risk,2023-07-09
C0598,395,High Risk,2023-04-28
C0599,465,High Risk,2023-01-23
C0600,725,Low Risk,2023-09-09
C0601,835,Very Low Risk,2023-04-09
C0602,420,High Risk,2023-02-13
C0603,420,High Risk,2023-05-30
C0604,524,High Risk,2023-03-18
C0605,554,Medium Risk,2023-02-02
C0606,621,Medium Risk,2023-10-04
C0607,482,High Risk,2023-05-21
C0608,897,Very Low Risk,2023-07-16
C0609,511,High Risk,2023-12-30
C0610,331,High Risk,2023-12-22
C0611,587,Medium Risk,2023-07-16
C0612,776,Very Low Risk,2023-08-24
C0613,458,High Risk,2023-03-24
C0614,677,Low Risk,2023-06-07
C0615,344,High Risk,2023-02-07
C0616,687,Low Risk,2023-05-30
C0617,339,High Risk,2023-05-04
C0618,445,High Risk,2023-11-12
C0619,362,High Risk,2023-02-02
C0620,394,High Risk,2023-01-18
C0621,545,High Risk,2023-08-13
C0622,719,Low Risk,2023-04-28
C0623,521,High Risk,2023-10-09
C0624,844,Very Low Risk,2023-02-13
C0625,631,Medium Risk,2023-09-23
C0626,719,Low Risk,2023-05-18
C0627,578,Medium Risk,2023-02-27
C0628,424,High Risk,2023-02-22
C0629,868,Very Low Risk,2023-06-01
C0630,430,High Risk,2023-02-18
C0631,330,High Risk,2023-04-28
C0632,844,Very Low Risk,2023-08-06
C0633,722,Low Risk,2023-10-03
C0634,493,High Risk,2023-06-03
C0635,730,Low Risk,2023-01-26
C0636,801,Very Low Risk,2023-11-08
C0637,530,High Risk,2023-05-27
C0638,304,High Risk,2023-05-25
C0639,753,Very Low Risk,2023-11-18
C0640,449,High Risk,2023-10-17
C0641,600,Medium Risk,2023-11-01
C0642,898,Very Low Risk,2023-10-02
C0643,405,High Risk,2023-02-23
C0644,827,Very Low Risk,2023-04-21
C0645,476,High Risk,2023-11-06
C0646,328,High Risk,2023-11-10
C0647,482,High Risk,2023-02-20
C0648,349,High Risk,2023-05-30
C0649,846,Very Low Risk,2023-06-18
C0650,321,High Risk,2023-09-11
C0651,819,Very Low Risk,2023-03-04
C0652,732,Low Risk,2023-01-26
C0653,319,High Risk,2023-07-13
C0654,619,Medium Risk,2023-03-14
C0655,342,High Risk,2023-10-14
C0656,873,Very Low Risk,2023-09-08
C0657,860,Very Low Risk,2023-03-06
C0658,596,Medium Risk,2023-02-05
C0659,709,Low Risk,2023-07-07
C0660,591,Medium Risk,2023-11-03
C0661,435,High Risk,2023-01-09
C0662,768,Very Low Risk,2023-03-18
C0663,376,High Risk,2023-12-09
C0664,806,Very Low Risk,2023-02-07
C0665,438,High Risk,2023-01-31
C0666,497,High Risk,2023-06-23
C0667,548,High Risk,2023-05-22
C0668,696,Low Risk,2023-09-29
C0669,557,Medium Risk,2023-11-07
C0670,662,Low Risk,2023-12-02
C0671,333,High Risk,2023-06-23
C0672,364,High Risk,2023-01-20
C0673,645,Medium Risk,2023-08-16
C0674,302,High Risk,2023-02-09
C0675,889,Very Low Risk,2023-01-24
C0676,646,Medium Risk,2023-08-07
C0677,312,High Risk,2023-09-30
C0678,781,Very Low Risk,2023-04-17
C0679,327,High Risk,2023-02-18
C0680,589,Medium Risk,2023-06-02
C0681,776,Very Low Risk,2023-11-19
C0682,425,High Risk,2023-10-16
C0683,371,High Risk,2023-10-03
C0684,451,High Risk,2023-11-01
C0685,490,High Risk,2023-06-04
C0686,525,High Risk,2023-12-23
C0687,431,High Risk,2023-10-17
C0688,441,High Risk,2023-09-23
C0689,595,Medium Risk,2023-11-01
C0690,366,High Risk,2023-05-04
C0691,899,Very Low Risk,2023-09-25
C0692,881,Very Low Risk,2023-02-24
C0693,424,High Risk,2023-01-28
C0694,417,High Risk,2023-03-22
C0695,713,Low Risk,2023-06-17
C0696,594,Medium Risk,2023-11-03
C0697,497,High Risk,2023-09-19
C0698,465,High Risk,2023-11-01
C0699,720,Low Risk,2023-03-20
C0700,630,Medium Risk,2023-07-23
C0701,347,High Risk,2023-02-17
C0702,327,High Risk,2023-02-28
C0703,588,Medium Risk,2023-04-12
C0704,416,High Risk,2023-06-21
C0705,457,High Risk,2023-11-02
C0706,586,Medium Risk,2023-04-11
C0707,852,Very Low Risk,2023-03-24
C0708,546,High Risk,2023-11-26
C0709,851,Very Low Risk,2023-12-15
C0710,692,Low Risk,2023-11-15
C0711,626,Medium Risk,2023-07-05
C0712,419,High Risk,2023-10-03
C0713,539,High Risk,2023-08-08
C0714,464,High Risk,2023-04-26
C0715,660,Low Risk,2023-03-14
C0716,808,Very Low Risk,2023-04-07
C0717,806,Very Low Risk,2023-08-08
C0718,572,Medium Risk,2023-11-03
C0719,575,Medium Risk,2023-11-25
C0720,849,Very Low Risk,2023-09-18
C0721,486,High Risk,2023-01-28
C0722,609,Medium Risk,2023-02-18
C0723,859,Very Low Risk,2023-12-19
C0724,837,Very Low Risk,2023-07-12
C0725,397,High Risk,2023-11-22
C0726,478,High Risk,2023-05-26
C0727,417,High Risk,2023-11-17
